Description	IADS #	category: 1 sd	category: 0.5 sd	mean hap	sd hap	mean fear	sd fear	mean ang	sd ang	mean dis	sd dis	mean sad	sd sad		n
Yawn	262	   	   	1.7297	1.2529	1.2838	0.9144	1.2162	0.6253	1.8649	1.7464	2.0676	1.9538		74
Whistling	270	H  	H  	5.75	2.5161	1.3611	0.8608	1.3889	1.3061	1.2778	0.9527	1.4028	1.1587		72
FemScream2	276	F  	F  	1.2027	1.0066	7.9054	1.9874	5.0541	2.9185	3.7432	2.9005	5.8378	2.575		74
FemScream3	277	F  	F  	1.32	1.1759	8	1.7782	4.5	3.0034	3.9865	2.8405	5.2973	2.9411		75
ChildAbuse	278	neg	neg	1.2533	1.3058	6.28	2.729	7.1733	2.1013	5.12	3.3042	7.4133	2.3829		75
Attack1	279	neg	neg	1.1757	0.8968	7.9324	1.9885	7.8378	2.0742	5.8919	3.1474	6.8108	2.5732		74
Funeral	280	   	S  	1.2432	0.6582	4.1757	2.6963	2.3919	2.0595	2.1081	1.8986	6.4459	2.8291		74
Attack2	285	*	*	1.1918	0.9952	8.1781	1.316	7.5616	2.1343	5.589	3.1616	6.726	2.6101		73
Victim	286	F *	F  	1.3014	1.1982	8.411	1.0386	6.1918	2.9043	5.2192	3.1013	7.3288	2.3514		73
CardiacArrest	287	   	   	1.2192	0.7861	4.5068	3.0918	2.5068	2.4951	2.0548	2.1978	3.8082	3.2044		73
Fight	290	AF * 	AF 	1.1096	0.3145	7.7945	1.6326	8.3151	1.0913	4.9726	3.0229	6.1096	2.6852		73
Prowler	291	F  	F  	1.3288	1.0548	6.7671	2.4297	3.2192	2.4166	2.7808	2.2314	2.726	2.1875		73
MaleScream	292	neg	F  	1.1127	0.4644	7.6901	1.8015	5.6901	2.7129	4.1408	2.9145	6.5775	2.2657		71
Crowd1	310	   	F  	2.7123	2.5899	5.6986	3.2002	2.6712	2.3396	1.9041	1.556	3.2877	2.5792		73
Crowd2	311	   	*	2.1867	2.0969	3.0667	2.6627	1.8	1.5067	1.64	1.4854	1.5067	1.3087		75
Office2	319	   	   	1.56	1.1653	1.6	1.3049	1.9733	1.724	1.6667	1.6549	1.3867	0.8837		75
Office1	320	   	   	1.7083	1.5239	1.7083	1.5053	1.9028	1.7047	1.5417	1.342	1.7083	1.368		72
TypeWriter	322	   	   	1.8904	1.6546	1.6849	1.5888	2.1233	2.0679	1.4521	1.2138	1.4932	1.1681		73
Traffic	325	   	   	1.7808	1.6604	2.4795	2.0757	2.0137	1.6955	1.4795	1.2814	1.4521	1.0546		73
Applause	351	H  	H  	6.7973	2.158	1.2027	0.6821	1.1892	0.6959	1.2027	0.9213	1.2297	0.786		74
SportsCrowd	352	H  	H  	6.8108	2.6311	1.3514	0.9853	1.3784	1.1551	1.2973	1.1435	1.1892	0.7153		74
Baseball	353	H  	H  	7.5135	2.1018	1.2297	0.9443	1.1892	0.5656	1.3108	1.097	1.2297	0.7128		74
Writing	358	   	   	1.473	1.1253	1.8514	1.6691	2.3784	2.1113	1.8243	1.9328	1.2973	0.8231		74
RollerCoaster	360	HF 	HF 	4.9722	2.8481	5.3194	2.5499	1.6667	1.2892	1.6111	1.4781	1.7222	1.5126		72
Restaurant	361	   	H  	3.8133	2.6133	1.4933	1.1897	1.44	1.1653	1.4	1.2302	1.32	0.7912		75
Football	362	   	   	3.5205	2.5772	2.2877	1.9256	2.5068	2.161	1.589	1.5351	1.3151	1.0121		73
CourtSport	370	   	H  	3.3333	2.708	1.2667	0.7769	1.2667	0.8436	1.0933	0.3739	1.1867	0.8002		75
JackHammer	380	   	   	1.2297	0.6733	3.2838	2.5294	3.3243	2.4889	2.0541	1.8572	1.5946	1.2597		74
Jet	400	   	   	2.3467	2.0697	2.9467	2.1865	1.7733	1.4757	1.3467	1.1797	1.4667	1.1311		75
Applause	401	H  	H  	5.8378	2.4719	1.2568	0.6207	1.1622	0.4388	1.2162	0.7811	1.2297	0.6733		74
Helicopter1	403	   	F  	1.72	1.5295	3.7467	2.4555	2.44	2.1948	1.6267	1.4498	1.7333	1.455		75
Helicopter2	410	   	F  	1.589	1.2565	3.4521	2.3924	1.7123	1.467	1.6986	1.808	1.6438	1.3475		73
Countdown	415	   	HF 	3.7867	2.7524	3.4667	2.5005	1.6133	1.4968	1.2667	1.0696	1.4133	0.9599		75
CarHorns	420	   	A  	1.4795	1.2373	3.1644	2.4945	4.9589	2.9128	1.6438	1.6105	1.5342	1.3651		73
TireSkids	422	*	F  	1.2297	0.7318	5.9595	2.8594	3.7027	2.9036	2.3108	2.2991	3.0946	2.5002		74
Injury	423	   	*	1.625	1.5784	3.5278	2.732	4.75	2.8322	2.9028	2.4561	3.2083	2.5004		72
CarWreck	424	   	F  	1.0811	0.3971	7.1486	2.2736	4.0541	2.8902	2.7568	2.5255	5.5405	3.0123		74
Train	425	   	   	1.8784	1.6957	3.0405	2.3782	2.2027	2.1389	1.5135	1.274	1.7162	1.6092		74
Wind	500	   	F  	1.3919	0.9038	5.1081	2.7576	2.2297	1.9412	1.7027	1.3822	2.473	2.0422		74
PlaneCrash	501	   	   	1.3194	0.8693	5.3056	2.7764	3.1389	2.536	2.125	1.8685	4.3056	2.8809		72
EngineFailure	502	   	   	1.2361	0.8959	2.8611	2.1382	4.5278	2.8382	1.8056	1.8738	3.3194	2.5719		72
BikeWreck	600	*	F  	1.2297	0.8366	7.5946	1.9155	3.7703	2.7575	3.6757	2.9568	6.1081	2.945		74
ColonialMusic	601	H  	H  	5.7808	2.6047	1.726	1.5658	1.3425	0.7856	1.2603	0.9432	1.4247	1.0263		73
Thunderstorm	602	   	   	2	1.8132	3.7432	2.5964	2.8784	2.4991	1.527	1.4639	2.7838	2.2892		74
CboyIndians	610	   	   	3.9589	2.8599	3.2055	2.5547	2.4521	2.1411	1.8356	1.856	1.8082	1.6804		73
MayDay	625	   	F  	1.1918	0.5691	6.9452	2.4715	3.4247	2.4547	2.0274	1.9219	5.0274	2.9626		73
Bombs	626	   	F  	1.3467	1.0066	5.8667	2.7721	3.7733	3.0517	2.4267	2.279	2.96	2.6069		75
HowlingRain	627	F  	F  	1.4	1.0398	5.56	2.5322	2.1067	1.8349	1.9333	1.8257	2.1867	1.865		75
Bomb	698	   	F  	1.4366	1.4316	6.4648	2.8124	4.5915	2.8615	2.5915	2.3335	3.662	2.7977		71
Raging Fire	699	   	F  	1.3514	1.0525	6.0541	2.8231	3.9189	2.8029	2.6216	2.414	3.6486	2.6865		74
ToiletFlush	700	D  	D  	1.6164	1.6041	1.274	0.8209	1.274	0.8702	4.9726	2.7837	1.1644	0.4718		73
Fan	701	   	   	2.1892	1.9066	2.0405	1.7707	1.5541	1.3961	1.1892	0.6341	1.2297	0.6527		74
Belch	702	D  	D  	2	1.8181	1.6438	1.466	1.5205	1.2146	7.3836	1.9122	1.3425	0.8695		73
TouchTone	704	   	   	1.5135	1.3059	1.2838	0.9725	1.5	1.2954	1.3108	1.1812	1.3378	1.1501		74
RotaryDial	705	   	   	2.3056	1.9833	2	1.8386	1.7083	1.5784	1.375	1.2496	1.4167	1.0714		72
War	706	   	AF 	1.4	1.1855	4.12	2.6961	3.8133	2.5874	2.0933	1.8612	2.3467	2.1276		75
ClockTick	708	   	   	1.4521	1.1431	2.5342	2.1219	2.1507	2.0728	1.6849	1.3424	1.8493	1.5062		73
AlarmClock	709	   	   	1.5467	1.2659	3.2133	2.6268	3.4667	2.9925	2.1333	2.2441	2.4133	2.2547		75
Cuckoo	710	   	   	2.5616	2.1794	2.0959	1.7963	2.4795	2.3869	1.5616	1.3943	1.411	0.9977		73
Sirens	711	F  *	F  	1.3514	0.9571	6.2432	2.5579	2.7838	2.5172	1.7703	1.7005	3.6757	2.7304		74
Buzzer	712	F  *	F  	1.3333	0.8222	6.8333	2.0895	4.6806	2.8025	2.125	2.1226	2.2361	2.0314		72
BrushTeeth	720	   	D  	1.8649	1.6413	1.5135	1.4919	1.6216	1.5323	4.2703	2.854	1.1892	0.5893		74
Beer	721	   	   	3.2267	2.5972	1.4133	1.2313	1.2933	0.8818	2.1067	2.0106	1.2	0.6778		75
Walking	722	   	AF *	1.4667	1.1069	3.2267	2.6024	3.1467	2.6288	1.28	0.7809	1.7733	1.665		75
Radio	723	   	   	1.8356	1.6331	2.2055	2.0545	1.7671	1.6031	1.4795	1.2814	1.6164	1.2652		73
Chewing	724	   	D  	2	1.8432	1.8919	1.7405	1.7162	1.5127	4.6081	2.9647	1.2838	0.7679		74
SodaFizz	725	   	   	2.1486	2.0982	1.527	1.537	1.3243	1.0483	3.0676	2.4569	1.4865	1.274		74
Cork	726	   	   	2.0278	1.7918	1.5278	1.2444	1.3889	1.0421	2.2222	2.0639	1.3889	1.0421		72
GlassBreak	730	   	AF 	1.2603	0.7076	4.3288	2.7591	5.4658	2.8871	2.0685	1.7899	2.8767	2.2788		73
Natives	802	H  	H  	5.6301	2.5359	1.5753	1.2574	1.3425	0.7677	1.2877	0.7356	1.9589	1.5495		73
Beethoven	810	H  	H  	6.6944	2.2682	1.375	0.926	1.1944	0.5474	1.2639	1.048	1.4583	1.0338		72
Bach	811	H  	H  	6.1081	2.3441	1.3784	0.9751	1.2973	0.8716	1.1757	0.5819	1.6486	1.276		74
Choir	812	   	HS 	3.8493	2.4018	2.411	2.3204	1.3973	0.939	1.3562	1.1349	4.2877	2.8308		73
RockNRoll	815	H  	H  	5.9067	2.7956	1.5867	1.3162	2.52	2.0359	1.2267	1.0472	1.1333	0.4746		75
Guitar	816	   	H  *	4.2533	2.4774	1.6267	1.4024	1.5467	1.1659	1.28	0.9524	2.7467	2.0408		75
FunkMusic	820	H  	H  	7.0405	2.0302	1.2432	0.8571	1.1892	0.6341	1.2703	1.0765	1.1486	0.4877		74
BagPipes	826	   	S  	2.7867	2.3325	1.8933	1.6569	1.3867	1.0253	1.36	1.0351	4.84	3.1582		75
