Description	IADS #	category: 1 sd	category: 0.5 sd	mean hap	sd hap	mean fear	sd fear	mean ang	sd ang	mean dis	sd dis	mean sad	sd sad		n
EroticMale1	210	   	HD 	4.2432	2.9945	1.8378	1.7562	1.2162	0.7124	5.2162	2.9734	1.3243	1.0555		37
EroticCouple2	215	HD 	HD 	6	3.0613	1.5556	1.5013	1.8611	1.8846	5.4444	2.9899	1.2222	0.7216		36
EroticCouple3	216	HD 	HD 	6.2105	2.8204	2.1842	2.2161	1.6053	1.717	5.4211	2.7176	1.4211	1.1539		38
BoyLaugh	220	H  	H  	8.2162	1.601	1.3784	1.255	1.1622	0.5534	1.5405	1.4831	1.1351	0.4191		37
MaleLaugh	221	H  	H  	7.2632	2.1646	1.9474	1.8151	1.3684	1.3441	1.7368	1.7193	1.2895	1.3337		38
ClapGame	225	H  	H  	5.8378	2.0346	1.4595	1.2822	1.3784	1.255	1.4595	1.2155	1.4865	1.2828		37
Laughing	226	H  	H  	7.6667	1.7889	1.7222	1.7339	1.5833	1.8107	1.6389	1.624	1.5556	1.5013		36
Giggling	230	H  	H  	7.3056	1.7699	1.3611	0.9305	1.1667	0.5071	1.6389	1.8229	1.4167	1.1802		36
NoseBlow	251	D  	D  	1.2632	0.9208	1.2632	0.8601	1.3421	1.1918	6	2.9592	2.0263	1.9931		38
MaleSnore	252	D  	D  	1.4737	1.084	1.6579	1.632	1.9211	1.8066	5.0789	2.8416	1.3158	0.8417		38
VideoGame	254	   	H  	4.1842	2.3579	1.9211	1.6338	2.3158	2.0809	1.7632	1.8371	1.2895	0.8977		38
BabyCry	261	S  	S  	1.4054	1.4232	3.8108	2.3433	4.4054	2.8427	1.973	2.0614	7.027	2.0614		37
Yawn	262	   	   	1.9459	1.4709	1.3514	1.1836	1.1622	0.6015	1.8649	1.9602	1.4865	1.1211		37
Whistling	270	H  	H  	6.2703	2.2192	1.2703	0.7691	1.1892	0.7393	1.2162	1.0037	1.2703	0.8045		37
FemScream2	276	F  	F  	1.3158	1.3775	8.1316	1.7732	5.3158	2.9048	4.2368	2.8799	6.2895	2.5352		38
FemScream3	277	F  	F  	1.4737	1.5551	8.3158	1.4906	4.7838	2.8784	4.3514	2.946	5.5676	2.7843		38
ChildAbuse	278	neg	ASF	1.2368	1.3035	7.1842	2.1035	7.2895	1.8293	5.5789	3.2352	7.8947	2.0768		38
Attack1	279	neg	F  	1.2895	1.2282	8.7895	0.528	8.2895	1.558	6.8421	2.5735	7.4211	1.8546		38
Funeral	280	S  	S  	1.2632	0.6851	3.9737	2.7459	2.2895	1.9715	2.3158	2.0678	6.8421	2.422		38
Attack2	285	F  *	F  *	1.3056	1.3695	8.6389	0.7232	7.7222	2.1329	6.25	2.9216	7.2778	2.1194		36
Victim	286	F  *	F  	1.2703	1.326	8.7297	0.6078	6.4324	2.863	5.5405	2.9962	7.4865	2.4109		37
CardiacArrest	287	   	SF 	1.2973	1.0505	5.0811	2.8808	2.4324	2.2053	2.1622	2.3275	4.1622	3.0958		37
Fight	290	AF *	AF 	1.0811	0.2767	8.1351	1.3977	8.5405	1.0164	5.4865	3.0788	6.5676	2.5226		37
Prowler	291	F  	F  	1.3243	1.0555	7.0541	2.1596	3.3514	2.3359	2.8378	2.154	2.7838	1.9023		37
MaleScream	292		F  	1.1081	0.5155	7.8108	1.7925	6.027	2.7536	3.9189	3.0219	6.4865	2.2438		37
Crowd1	310	   	F  	2.9189	2.6602	6.0541	3.1353	3.027	2.5548	2.0811	1.6895	3.5946	2.7634		37
Crowd2	311	   	*	2.0263	1.9381	3.3421	2.7829	1.9737	1.7932	1.6316	1.532	1.5526	1.5013		38
Office2	319	   	   	1.7632	1.4034	1.6842	1.4724	1.7105	1.3932	1.7105	1.6259	1.3421	0.7453		38
Office1	320	   	   	2	1.7238	1.9167	1.73	2.0278	1.7806	1.75	1.6966	1.7222	1.344		36
TypeWriter	322	   	   	2.0811	1.9347	1.7297	1.644	2.1892	2.1582	1.6216	1.4786	1.5676	1.1676		37
Traffic	325	   	   	1.9444	1.788	2.4167	1.9328	2.0833	2.0053	1.4722	1.424	1.2778	0.8819		36
Applause	351	H  	H  	7.0263	1.9931	1.2632	0.8909	1.1842	0.8336	1.3158	1.2543	1.2632	0.9497		38
SportsCrowd	352	H  	H  	7.1579	2.3656	1.4474	1.1554	1.3684	0.9704	1.4474	1.5369	1.2895	0.956		38
Baseball	353	H  	H  	8.0811	1.4791	1.3514	1.274	1.2162	0.7124	1.4595	1.4643	1.2703	0.8045		37
Writing	358	   	   	1.5135	1.2161	1.7027	1.4882	2.4595	2.022	1.7838	1.7019	1.2973	0.9962		37
RollerCoaster	360	HF 	HF 	4.8919	2.9794	5.5676	2.3634	1.4595	0.9602	1.4865	1.4457	1.5676	1.4633		37
Restaurant	361	H  	H  	4.7895	2.244	1.5789	1.4072	1.4474	1.267	1.5526	1.6224	1.4474	1.0053		38
Football	362	   	   	3.1622	2.23	2.5405	2.0762	2.6216	2.1259	1.8919	2.0109	1.5135	1.3462		37
CourtSport	370	   	H  	3.2632	2.7082	1.2105	0.622	1.2632	0.76	1.0789	0.3588	1.1316	0.4748		38
JackHammer	380	   	   	1.2432	0.7229	3.3784	2.7116	3.4865	2.5779	2.2973	1.8983	1.7027	1.4311		37
Jet	400	   	   	2.3684	1.9922	3.5526	2.4461	2.0526	1.7077	1.5263	1.5894	1.6579	1.4755		38
Applause	401	H  	H  	6.5	2.1529	1.2368	0.5897	1.1053	0.3883	1.2895	1.0374	1.1842	0.5626		38
Helicopter1	403	   	F  	1.7368	1.6055	4.0263	2.4104	2.2368	2.0591	1.5526	1.5013	1.5263	0.9512		38
Helicopter2	410	   	F  	1.5946	1.2351	3.8649	2.4286	1.7838	1.4932	1.4595	1.4258	1.8649	1.7023		37
Countdown	415	   	HF 	3.5	2.6175	3.6842	2.4173	1.5789	1.4262	1.3947	1.4619	1.4211	0.9762		38
CarHorns	420	   	AF 	1.7297	1.5925	3.4595	2.6936	4.8378	2.9769	1.6757	1.6508	1.5405	1.4643		37
TireSkids	422	F  *	F  	1.1892	0.5184	6.7568	2.5321	4.1892	2.9234	2.7568	2.6605	3.7568	2.543		37
Injury	423	   	A  *	1.4865	1.3462	3.5405	2.5232	5	2.6977	3.1622	2.3748	2.6757	1.9868		37
CarWreck	424	   	F  	1.1053	0.5088	7.9474	1.7077	4.2895	2.8466	3.2632	2.6781	6.5526	2.617		38
Train	425	   	F  	1.8378	1.5901	3.7027	2.4252	2.2973	2.3554	1.6757	1.5102	2.027	2.0205		37
Wind	500	F  	F  	1.5263	1.0329	5.5526	2.7282	2.6053	2.1503	1.8421	1.4801	2.5526	1.927		38
PlaneCrash	501	   	   	1.25	0.6918	5.6944	2.4936	3.4722	2.6671	2.1667	1.7321	4.5278	2.7722		36
EngineFailure	502	   	   	1.3333	1.1952	3.1111	2.0533	4.4444	2.443	1.9444	2.0832	3.3889	2.3333		36
BikeWreck	600	F  *	F  	1.2368	0.6339	8.1316	1.6303	4.1316	2.8109	3.7632	3.0618	6.4737	2.9384		38
ColonialMusic	601	H  	H  	6.3333	2.4378	1.8056	1.7699	1.25	0.6036	1.2778	1.0313	1.5278	1.2302		36
Thunderstorm	602	   	F  	2.4211	2.2855	4.2632	2.5857	2.9211	2.3867	1.4737	1.4282	2.6579	2.1217		38
CboyIndians	610	   	H  	4.6486	2.8109	2.973	2.5657	1.8919	1.8376	1.8649	2.0023	1.4595	1.2382		37
MayDay	625	   	F  	1.1351	0.4191	7.4595	2.1421	3.5676	2.5115	2.2432	2.1266	5.4595	2.6624		37
Bombs	626	   	F  	1.2632	0.828	6.6579	2.4745	4.3158	3.1202	2.7895	2.3955	3.3158	2.7618		38
HowlingRain	627	F  	F  	1.5526	1.2881	5.7632	2.3067	2.1316	1.7112	1.9211	1.851	2.2105	2.0021		38
Bomb	698	   	F  	1.4324	1.4821	6.7838	2.4282	4.9189	2.8904	3.0541	2.4938	3.973	2.8818		37
Raging Fire	699	F  	F  	1.4211	1.1998	6.6842	2.3608	4.2105	3.0239	2.9474	2.4709	4.2632	2.8158		38
ToiletFlush	700	D  	D  	1.4324	1.0682	1.3514	1.006	1.3784	1.139	5.4054	2.8329	1.1081	0.3933		37
Fan	701	   	   	1.9189	1.4216	2.027	1.8026	1.5676	1.3651	1.2162	0.6723	1.2973	0.8119		37
Belch	702	D  	D  	2.1667	1.6987	1.7778	1.6581	1.4167	0.9373	7.4722	1.8744	1.2778	0.8146		36
TouchTone	704	   	   	1.8378	1.6417	1.3514	1.1836	1.4595	1.2604	1.3784	1.4597	1.2703	0.8708		37
RotaryDial	705	   	   	2.6667	2.0142	2.3056	2.0815	1.75	1.6279	1.5	1.5584	1.3611	0.8669		36
War	706	   	AF 	1.3158	0.8417	4.4474	2.6273	4	2.5994	2.3421	1.9351	2.5789	2.2497		38
ClockTick	708	   	   	1.6667	1.5119	2.6111	2.1683	2.3333	2.0702	1.8056	1.4106	1.9167	1.6102		36
AlarmClock	709	   	   	1.7368	1.6055	3.7105	2.7891	3.4474	3.1253	2.2895	2.5775	2.1842	2.0646		38
Cuckoo	710	   	   	2.9474	2.4156	2.2368	2.0851	2.2895	2.2769	1.6579	1.6485	1.3421	0.7081		38
Sirens	711	F  *	F  	1.4865	1.1931	6.9189	2.3019	2.8649	2.6369	1.8649	1.8583	4.5135	2.755		37
Buzzer	712	AF *	F  	1.2973	0.7769	7.1081	2.0654	5.1081	2.5904	2.2703	2.3172	2.3243	1.9156		37
BrushTeeth	720	   	D  	1.9474	1.5236	1.3947	1.4803	1.2895	1.0374	4.1579	2.8239	1.0789	0.3588		38
Beer	721	   	   	3.1579	2.3541	1.5	1.3901	1.3947	1.128	2.3158	2.2434	1.2632	0.8601		38
Walking	722	   	AF *	1.6053	1.2201	3.2368	2.562	2.9211	2.5403	1.3158	0.8089	1.6053	1.4433		38
Radio	723	   	   	2.0811	1.9913	2.0811	2.0464	1.6216	1.3198	1.4054	1.117	1.5676	1.1676		37
Chewing	724	   	D  	2.2703	1.9671	1.9459	1.7312	1.5946	1.4617	4.3514	3.0751	1.2973	0.9087		37
SodaFizz	725	   	D  	2.2432	2.1003	1.6757	1.9011	1.3514	1.3169	3.6757	2.6358	1.5946	1.5716		37
Cork	726	   	   	2	1.7566	1.5278	1.4038	1.4167	1.1307	2.0833	1.8264	1.3889	1.1027		36
GlassBreak	730	   	AF 	1.2432	0.7603	4.5405	2.7039	5.6757	2.7694	2.6486	2.0978	2.973	2.0342		37
Natives	802	H  	H  	5.3889	2.4874	1.6667	1.3522	1.4444	0.9394	1.3889	0.8711	2.1389	1.8385		36
Beethoven	810	H  	H  	7.1081	1.8527	1.4865	1.096	1.2703	0.6519	1.3784	1.4014	1.4595	0.9308		37
Bach	811	H  	H  	6.8158	2.1163	1.3947	1.0011	1.2105	0.8433	1.2105	0.7036	1.4211	1.106		38
Choir	812	   	HS 	4.3333	2.4957	2.3611	2.1267	1.4444	1.0541	1.5	1.5024	3.9722	2.7306		36
RockNRoll	815	H  	H  	6.0263	2.8235	1.6316	1.4963	2.2632	1.7349	1.2368	1.3035	1.0789	0.3588		38
Guitar	816	   	H  *	4.1316	2.4292	1.7632	1.6511	1.5526	1.3294	1.3684	1.2611	2.8947	1.8858		38
FunkMusic	820	H  	H  	7.7297	1.3468	1.2973	1.1021	1.2162	0.7504	1.4324	1.4633	1.0811	0.2767		37
BagPipes	826	   	S  	2.7105	2.2887	1.8158	1.5397	1.2632	0.6851	1.3947	1.2201	5.2368	3.053		38
