APPENDIX A																		
"The following information is shown below: Item is the identifying number of each picture, "																		
"Intended name is the intended name for each concept, modal name is the name given by the"																		
"majority of subjects, the H statistic and the percentage agreement (%) are two measures of name"																		
"agreement; the means and standard deviations are for ratings of image agreement, familiarity, "																		
"complexity, and age of acquisition, F is the frequency for each single-word name, (taken from "																		
"Content, Mousty, & Radeau, 1990); the main verbal association for each single-word name is "																		
"presented when available (taken from Ferrand & Alario, 1998)."																		
				Name Agreement		Image Agreement		Familiarity		Complexity		Variability		Age of Acquisition				
Item	Intended Name	Modal Name	English	H	%	M	SD	M	SD	M	SD	M	SD	M	SD	F	Verbal Association	%
187	bague	bague	ring	0	100	2.63	0.89	4	1.05	2.28	0.75	3.97	1.1	2.32	0.85	11.78	fiançailles	28.1
188	fauteuil à bascule	idem	rocking chair	1.41	36	3.73	1.01	1.87	0.73	3.97	0.42	2.4	0.72	3.12	1.05	–	–	–
189	patin à oulette	idem	roller skate	0.15	96	2.47	1.17	1.93	0.87	3.72	0.59	2.2	0.55	2.81	0.98	–	–	–
190	rouleau à patisserie	idem	rolling pin	0.34	89	4.57	0.64	2	0.87	1.38	0.49	2.03	0.56	3.04	1.04	–	–	–
191	coq	coq	rooster	0	100	4.43	0.68	2.4	1.3	3.76	0.64	2.43	0.97	1.85	0.67	18.42	poule	56.1
192	règle	règle	ruler	0	100	3.73	0.78	4.53	0.68	2.28	0.75	2.77	0.9	2.42	0.76	90.78	mesure	21.3
193	voilier	voilier	sailboat	0.8	57	3.67	0.8	2.87	1.01	3.41	0.87	3.37	1.03	3.12	0.93	3.99	mer	31.5
194	salière	salière	salt shaker	0.29	93	4.33	0.92	4.3	0.88	3.07	0.59	2.5	0.82	3	0.91	0.85	sel	37.1
195	sandwich	sandwich	sandwich	0	100	3.03	1	3.93	0.91	3.21	0.68	3.53	1.11	2.52	0.87	3.78	pain	20.2
196	scie	scie	saw	0	100	4.6	0.72	1.97	1.13	2.41	0.68	2.2	0.61	2.68	0.9	4.21	bois	29.2
197	ciseau	ciseau	scissors	0.34	89	4.5	0.73	4.07	0.83	2.24	0.69	3.03	1.03	2	0.63	7.27	couper	73
198	vis	vis	screw	0.15	96	3.87	1.04	2.3	1.15	3.55	0.87	2.23	0.68	2.77	0.95	2.68	tournevis	33.7
199	tournevis	tournevis	screwdriver	0	100	4.37	0.76	2.47	1.33	2.31	0.47	2.3	0.65	2.96	0.92	0.63	vis	31.5
200	hippocampe	hippocampe	sea horse	0	96	4	1.08	1.2	0.55	4.55	0.63	2.37	0.81	3.65	1.16	0.12	mer	31.5
201	phoque	phoque	seal	0.89	57	2.67	0.88	1.27	0.64	2.86	0.79	2.13	0.63	2.96	1.11	2.89	banquise	13.5
202	mouton	mouton	sheep	0	100	2.9	0.8	1.83	0.87	3.59	0.57	2.43	1.04	1.65	0.69	22.37	laine	30.3
203	chemise	chemise	shirt	0	100	3.8	0.92	4.37	0.85	3.1	0.62	3.7	0.99	2.04	0.66	46.58	homme	11.2
204	chaussure	chaussure	shoe	0	100	2.9	0.96	4.93	0.25	3.14	0.64	4.14	1.06	1.38	0.57	14.25	pied	19.1
205	jupe	jupe	skirt	0	100	2.37	0.81	3.23	1.28	1.66	0.55	3.73	0.91	1.65	0.69	22.07	courte	22.5
206	moufette	putois	skunk	0.76	71	2.03	1.38	1.07	0.25	4.76	0.64	1.43	0.68	4.62	0.64	0	–	–
207	luge	luge	sled	0.26	89	2.83	1.02	1.9	0.84	3.28	0.65	2.57	0.57	2.81	1.23	0.34	neige	74.1
208	escargot	escargot	snail	0	100	3.77	0.77	2.3	1.06	3	0.71	2.67	0.88	1.88	0.82	4.93	lent	24.7
209	serpent	serpent	snake	0	100	3.33	0.92	1.5	0.82	4	0.8	3.17	1.05	2.23	0.91	21.9	à sonnette	30.3
210	bonhomme de neige	idem	snowman	0	100	3.87	0.68	2.33	1.03	2.76	0.79	3.1	1.03	2	0.91	–	–	–
211	chaussette	chaussette	sock	0	100	3.2	0.85	4.97	0.18	1.79	0.73	3.93	1.17	1.58	0.64	7.91	chaussure	19.1
212	araignée	araignée	spider	0.15	96	3.03	0.89	2.2	0.96	3.21	0.82	3.13	1.01	2.15	0.83	10.42	toile	40.4
213	rouet	rouet	spinning wheel	1.14	39	2.47	1.5	1.17	0.46	3.86	0.69	1.7	0.79	4.36	0.91	1.27	–	–
214	bobine de fil	bobine de fil	spool of thread	0.29	93	4	1.05	2.6	1.16	4.07	0.92	2.17	0.59	3.08	0.98	–	culture	31.5
215	cuillère	cuillère	spoon	0	100	3.83	0.79	4.93	0.25	2.38	0.68	2.97	1.07	1.35	0.56	0	soupe	22.5
216	écureuil	écureuil	squirrel	0	100	4.33	0.61	1.83	0.95	3.55	0.63	2.33	0.8	2.42	0.99	4.89	arbre	23.6
217	étoile	étoile	star	0	100	4.3	1.12	3.77	0.77	1.17	0.47	3.43	1.25	1.69	0.68	92.1	ciel	21.3
218	tabouret	tabouret	stool	0	100	3.6	0.93	3.8	1.3	2.24	0.69	2.57	0.94	2.2	0.87	7.48	chaise	19.1
219	cuisinière	cuisinière	stove	1.03	61	2.93	0.69	4.37	1.07	4.24	0.79	3	1.05	2.88	0.91	8.55	–	–
220	fraise	fraise	strawberry	0	100	3.03	1.03	3.2	1.03	2.76	0.69	2.7	1.12	1.81	0.85	6.12	des bois	18
221	valise	valise	suitcase	0.43	89	2.77	0.73	3.9	0.99	3.48	0.57	3.2	0.89	2.23	0.71	25.9	voyage	43.8
222	soleil	soleil	sun	0	100	3.53	1.14	4.37	0.67	1.14	0.35	3.3	1.37	1.42	0.64	257	chaleur	13.5
223	cygne	cygne	swan	0.15	96	3.73	1.11	1.87	0.86	2.86	0.64	2.23	0.68	2.65	0.89	8.21	blanc	25.8
224	pull-over	pull-over	sweater	0.29	93	3.3	0.75	4.87	0.35	2.76	0.74	3.97	1	2.31	0.97	1.1	chaud	20.2
225	balançoire	balançoire	swing	0	100	3.57	1.1	2.47	0.9	1.69	0.66	2.9	0.77	1.84	0.85	1.74	enfants	29.2
226	table	table	table	0	100	3.5	1.17	4.83	0.46	1.45	0.57	3.73	1.11	1.35	0.56	254	chaise	28.1
227	téléphone	téléphone	telephone	0	100	3.2	1.27	4.93	0.25	3.1	0.56	3.75	0.97	1.77	0.82	37.52	communication	11.2
228	télévision	télévision	television	0.15	96	2.97	0.96	4.43	1.01	3.28	0.53	3.37	1.11	2.04	0.77	0.46	émissions	10.1
229	raquette de tennis	idem	tennis racket	0	100	3.57	0.97	2.9	1.03	3.03	0.73	2.89	0.88	2.5	0.81	–	tennis	88.7
230	dé à coudre	dé à coudre	thimble	0	100	2.93	1.6	1.83	0.91	3.14	0.92	2.57	0.88	2.23	0.59	–	couture	34.8
231	pouce	pouce	thumb	0.15	96	4.27	0.83	4.77	0.68	2.24	0.64	2.46	1.07	1.23	0.51	19.44	index	28.1
232	cravate	cravate	tie	0	100	3.8	0.89	3.33	0.92	2.66	0.61	3.07	1.05	2.38	0.75	1.61	costume	18
233	tigre	tigre	tiger	0	100	3.63	0.76	1.3	0.65	4.62	0.68	2.25	0.65	2.31	1.05	5.27	lion	18
234	grille-pain	grille-pain	toaster	0.15	96	2.83	0.83	3.63	1.19	2.9	0.67	2.5	0.69	2.88	0.99	0.08	petit-déjeuner	20.2
235	orteil	orteil	toe	0.8	54	3.83	0.7	4.6	0.67	2.07	0.59	2.25	0.84	2.31	0.97	4.25	–	–
236	tomate	tomate	tomato	0.15	96	4.37	0.85	4.27	0.78	1.93	0.65	2.57	0.92	1.65	0.75	3.44	rouge	49.4
237	brosse à dents	brosse à dents	toothbrush	0	100	3.93	0.74	4.87	0.57	2.38	0.68	2.89	0.92	1.81	0.69	–	dentifrice	56.1
238	toupie	toupie	top	0	100	2.63	0.89	1.8	0.89	3.07	0.75	2.39	0.92	2.31	0.93	2.51	tourner	43.8
239	feu	feu	traffic light	0	100	2.67	0.88	4.33	0.92	3.41	0.63	3.32	1.25	1.65	0.75	226	rouge	18
240	train	train	train	0.67	61	2.87	0.97	3.97	1.07	4.69	0.47	3.43	0.96	1.73	0.92	168	vapeur	12.3
241	arbre	arbre	tree	0.15	96	3.37	0.96	4.6	0.67	4.31	0.71	4.5	0.79	1.38	0.57	206	feuilles	23.6
242	camion	camion	truck	0	100	2.77	1.04	3.23	1.1	2.9	0.67	3.29	1.08	1.62	0.75	21.44	voiture	15.7
243	trompette	trompette	trumpet	0.29	93	4.33	0.8	1.9	0.8	3.55	0.87	2.07	0.54	2.35	0.85	11.91	musique	29.2
244	tortue	tortue	turtle	0	100	4.1	0.66	2.03	1.07	3.28	0.65	2.71	0.98	1.92	0.8	5.57	lent	32.6
245	parapluie	parapluie	umbrella	0.47	82	3.23	0.73	3.43	0.86	3.24	0.69	3.07	0.9	1.88	0.77	10.25	pluie	75.3
246	vase	vase	vase	0.15	96	2.2	0.89	2.9	1.21	3.62	0.73	3.68	1.09	2.31	0.74	25.95	fleurs	63
247	gilet	gilet	vest	0.98	64	1.93	1.2	2.43	1.01	2.76	0.64	3.21	0.99	2.5	1.03	11.4	sauvetage	18
248	violon	violon	violin	0.15	96	4.27	0.69	2.03	0.96	4.28	0.65	2.36	0.78	2.54	1.07	13.86	musique	31.5
249	charrette	chariot	wagon	1.27	43	1.2	0.48	1.33	0.55	3.34	0.77	2.21	0.63	2.88	0.91	11.35	–	–
250	montre	montre	watch	0	100	3.23	0.73	4.7	0.6	2.93	0.8	3.61	1.1	2.19	0.57	27.73	heure	–
251	arrosoir	arrosoir	watering can	0	96	4	0.79	2.27	1.17	2.72	0.65	2.43	0.84	2.31	0.97	1.4	eau	29.2
252	pastèque	pastèque	watermelon	0.47	82	2.7	1.26	2.53	1.04	1.86	0.58	2.14	0.71	2.81	0.9	0.68	eau	20.2
253	puits	puits	well	0	100	3.4	1.1	1.9	1.03	3.79	0.56	2.5	0.84	2.77	0.99	23.73	eau	52.8
254	roue	roue	wheel	0	100	3.73	1.48	1.67	0.84	3.34	0.86	3.43	1.03	2.12	0.77	5.02	voiture	23.6
255	sifflet	sifflet	whistle	0	100	4.7	0.6	2.1	0.92	2.24	0.58	2.39	0.63	2.38	0.8	11.52	bruit	21.3
256	moulin	moulin	windmill	0	100	3.33	1.09	1.57	0.77	4.79	0.41	2.36	0.73	2.31	0.93	18.16	vent	41.6
257	fenêtre	fenêtre	window	0	96	1.77	0.63	3.67	1.32	3.48	0.91	3.57	0.88	1.69	0.88	196	porte	15.7
258	verre à pied	verre à pied	wine glass	0.98	57	2.67	1.32	4.67	0.61	1.97	0.73	2.75	1	3.12	0.91	–	–	–
259	clé à écrous	clé	wrench	1.3	36	2.87	1.22	2.13	1.14	2.17	0.6	2.57	0.96	2.19	1.23	–	–	–
260	zèbre	zèbre	zebra	0	100	4.27	0.69	1.07	0.37	4.55	0.51	2.04	0.43	2.46	0.95	1.61	rayures	42.7
261	gland	gland	acorn	0.41	86	3.37	1.19	1.9	0.96	3.38	0.86	2.11	0.58	3.12	1.03	2.63	–	–
262	bassine	bassine	basin	0.99	61	2.93	0.94	3	0.98	2.1	0.49	2.32	0.72	2.6	0.82	1.78	–	–
263	banc	banc	bench	0	100	3.4	0.93	3.63	0.93	2.9	0.62	2.89	0.92	2.15	0.67	47.86	école	13.5
264	jumelles	jumelles	binoculars	0	100	3.63	0.96	2.07	0.87	4.52	0.74	2.39	0.79	2.8	0.76	0	vue	18
265	nid	nid	bird nest	0	100	3.77	0.68	2.17	1.15	4.9	0.41	2.43	0.74	2.23	0.91	21.52	oiseau	75.3
266	maison à oiseau	idem	bird house	1.39	43	3.17	0.83	1.9	1.06	2.62	0.68	1.96	0.79	3.73	1	–	–	–
267	ballon dirigeable	idem	blimp	1.87	18	2.4	1.52	1.27	0.69	3.62	0.62	2.18	0.55	4.15	0.73	–	–	–
268	appareil photo	idem	camera	0	100	3.83	0.79	3.7	0.92	4.34	0.67	3.26	0.94	2.96	1.04	–	–	–
269	malle	malle	chest	1	54	3.03	0.89	2.63	1.1	2.52	0.63	2.89	1.03	3.19	0.8	12.3	voyage	27
270	cheminée	cheminée	chimney	0	100	2	1.31	3.13	1.17	3.76	0.79	3.32	1.22	2.31	0.93	41.22	feu	57.3
271	placard	penderie	closet	0.96	61	2.57	1.01	3.97	1.19	4.59	0.57	3.32	1.16	2.23	0.76	10.8	–	–
272	passoire	passoire	colander	0.73	75	3.57	1.17	3.67	1.21	3.64	0.83	2.23	0.57	3.12	0.78	0.51	–	–
273	planche à découper	idem	cutting board	0.86	57	3.33	1.32	3.07	1.14	2.03	0.57	2.97	1.03	2.52	0.82	–	–	–
274	dauphin	dauphin	dolphin	0	100	4.7	0.53	1.8	0.81	3.1	0.72	2.67	0.92	2.44	0.87	3.7	–	–
275	pelle	pelle	dust pan	0	100	3.73	1.01	2.1	0.8	2.41	0.68	2.37	0.72	1.76	0.78	6.63	"râteau, sable"	14.6
276	éventail	éventail	fan	0	96	3.23	0.82	1.53	1.07	3.1	0.62	2.73	0.83	2.68	0.95	10.8	–	–
277	robinet	robinet	faucet	0	100	3.03	1	4.8	0.61	3.93	0.8	2.77	0.94	2.08	0.86	5.87	eau	66.3
278	plume	plume	feather	0	100	4.2	1.1	2.3	1.21	3.66	1.04	3.43	0.9	2.16	0.85	51.05	–	–
279	fougère	fougère	fern	0.68	71	2.97	0.96	1.83	0.99	4.21	0.98	2.47	1.07	3.12	1.09	6.29	–	–
280	grande roue	grande roue	ferris wheel	0.62	82	3.13	1.36	1.73	0.64	4.86	0.44	2.13	0.63	3.16	0.94	–	–	–
281	borne incendie	bouche incendie	fire hydrant	1.06	36	2.47	1.38	1.93	1.17	3.79	0.62	1.97	0.49	3.92	0.95	–	–	–
282	hameçon	hameçon	fishhook	0.94	64	4.03	1.27	1.63	0.72	1.79	0.62	2.27	0.64	3.54	0.99	1.7	–	–
283	canne à pêche	canne à pêche	fishing rod	0.4	89	4.3	0.7	1.77	0.86	3	0.93	2.4	0.67	2.8	0.82	–	–	–
284	torche	torche	flashlight	1.31	36	3.47	1.28	2.93	0.94	3.38	0.68	2.63	0.81	3.46	0.71	7.57	–	–
285	mappemonde	mappemonde	globe	0.87	68	4.2	1.21	2.13	1.11	3.17	0.85	2.73	1.01	3.96	0.89	0	–	–
286	masque	masque plongée	goggles	1.4	46	1.2	0.41	1.73	1.05	2.76	0.64	3.87	0.97	2.27	0.83	35.73	–	–
287	barbecue	barbecue	grill	0	100	2.8	0.85	2.63	0.93	3.72	0.65	2.7	0.79	3.23	1.03	0	–	–
288	caddie	caddie	cady	0.52	79	–	–	–	–	–	–	2.57	0.82	–	–	0	–	–
289	écouteurs	écouteurs	headphones	1.19	39	2.8	1.37	2.43	1.19	4.07	0.8	2.87	1.01	3.64	0.7	0	–	–
290	hippopotame	hippopotame	hippopotamus	0	96	2.97	0.89	1.23	0.68	4.1	0.49	2.03	0.32	3.65	1.16	1.74	gros	30.3
291	binette	binette	hoe	1.16	29	2.5	1.43	1.53	0.86	2.17	0.76	1.47	0.57	4.2	0.96	0.51	–	–
292	lampe à pétrole	lampe à pétrole	lantern	1.61	32	3.7	1.09	1.73	1.01	3.93	0.53	2.27	0.74	3.69	0.93	–	lumière	51.7
293	tondeuse	tondeuse	lawnmower	0	100	3.6	1	2.33	1.09	4.86	0.35	2.2	0.48	2.88	0.83	0	–	–
294	bûches	bûches	logs	1.42	39	3.24	1.02	2.87	0.97	3.31	0.85	2.3	0.75	3.08	0.93	8.08	feu	33.7
295	maracas	maracas	maracas	0.81	43	3.17	1.26	1.47	0.57	3.55	1.02	1.73	0.83	4.08	1.02	0	–	–
296	microscope	microscope	microscope	0	93	3.97	0.81	1.53	0.68	4.34	0.55	2.33	0.92	3.65	0.75	4.08	–	–
297	filet à papillon	idem	net	0.68	57	3.63	1.03	1.63	0.72	3.07	0.92	2.07	0.58	3.23	1.07	–	–	–
298	raquette ping-pong	idem	paddle	0	100	4.63	0.76	2.3	1.02	1.93	0.65	2.3	0.7	2.96	0.92	–	–	–
299	parachute	parachute	parachute	0.7	71	3	1.11	1.23	0.5	3.72	0.88	2.57	0.97	3.15	1.01	1.53	tomber	13.5
300	perroquet	perroquet	parrot	1.49	57	3.67	0.84	1.47	0.68	4.9	0.31	2.87	0.9	2.58	0.86	4.46	répéter	18
301	tableau	tableau	picture	0.34	89	3.47	1.31	4.1	0.99	4.21	0.77	4.07	1.05	2.19	0.75	85.38	–	–
302	flipper	flipper	pinball machine	0	96	2.9	0.92	1.7	0.75	4.69	0.6	2.8	0.92	3.68	0.9	0	–	–
303	ornithorynque	ornithorynque	platypus	0.9	39	2.2	1.54	1.1	0.4	3.17	0.6	1.47	0.57	4.72	0.46	0.38	–	–
304	râteau	râteau	rake	0	100	3.97	0.72	2.47	1.07	2.17	0.66	2.1	0.4	1.96	1	2.8	pelle	39.3
305	fusée	fusée	rocket	0	100	3.5	0.82	1.67	0.88	4.21	0.62	2.73	0.83	2.46	0.81	9.87	espace	31.5
306	corde	corde	rope	0.15	96	3.7	0.84	2.37	0.76	3.34	0.86	2.53	0.86	2.08	0.69	42.75	–	–
307	selle	selle	saddle	0	100	3.7	1.21	2.1	1.24	4.1	0.62	2.67	1.03	3	0.89	7.95	–	–
308	coffre-fort	coffre-fort	safe	0.29	93	3.57	1.1	1.77	1.07	3.93	0.65	2.67	0.96	3.23	0.86	2.8	–	–
309	balance	balance	scale	0	96	3.13	1.43	1.93	1.26	3.28	0.7	2.97	0.85	2.73	0.83	15.06	–	–
310	spatule	pelle	spatula	0.22	57	1.4	0.62	1.73	0.94	2.21	0.68	2.43	0.77	3.46	0.76	0.42	–	–
311	douche	douche	showerhead	0.78	61	2.33	1.03	4.87	0.43	3.72	0.92	3.23	1.04	2.23	0.76	5.36	–	–
312	seringue	seringue	syringe	0.29	93	4.31	0.85	2.2	1.21	3.72	0.59	2.57	0.9	3.5	0.86	3.27	–	–
313	tambourin	tambourin	tambourine	0.18	79	3.33	1.52	1.8	0.71	3	0.71	2	0.45	2.85	1.22	0.93	–	–
314	télescope	télescope	telescope	0.69	57	3.77	0.9	1.37	0.61	3.72	0.7	2.37	0.76	3.88	0.73	2.04	–	–
315	thermos	thermos	thermos	0.68	61	3.33	1.09	2.03	1	3.76	0.87	2.4	0.72	3.54	0.86	1.06	–	–
316	pneu	pneu	tire	0.68	57	4.5	0.63	3.87	1.17	3.69	0.66	2.7	0.95	2.76	0.66	4.33	voiture	48.2
317	tracteur	tracteur	tractor	0	100	2.93	0.94	2.5	1.17	4.41	0.5	2.37	0.72	2.38	0.9	1.36	champs	20.2
318	cabine	oeuf	tram car	1.18	54	1.13	0.43	2.43	1.1	3.45	0.99	2.57	1.1	3.42	0.86	11.23	–	–
319	girouette	girouette	weather vane	0	79	3.23	1.25	1.97	1.1	4.59	0.57	2.43	1.1	3.54	0.86	1.48	–	–
320	yo-yo	yo-yo	yoyo	0.29	93	4.3	0.75	1.57	0.63	2.48	0.63	2.5	0.82	2.5	0.81	0	–	–
321	fermeture éclair	fermeture éclair	zipper	0.33	82	3.5	1.11	4.27	0.91	3.41	0.73	2.53	0.86	2.69	0.79	–	–	–
322	fourmilier	fourmilier	anteater	1.78	21	2.07	1.51	1.03	0.18	3.41	0.73	1.33	0.61	4.62	0.64	0.46	–	–
323	enclume	enclume	anvil	0.36	79	2.93	1.26	1.1	0.31	2.59	0.63	1.93	0.45	4.04	0.72	3.44	–	–
324	arche	arche	arch	1.57	29	2	1.17	2.27	1.11	1.69	0.85	2.37	0.72	3.69	0.79	8.33	–	–
325	tatou	tatou	armadillo	1.02	39	2.1	1.21	1.07	0.37	3.59	0.63	1.57	0.73	4.65	0.56	0	–	–
326	avocat	avocat	avocado	0.26	89	3.37	1.16	3.07	1.01	2.14	0.64	2.6	0.86	2.73	1.04	24.67	–	–
327	maillot de bain	maillot de bain	swimsuit	0.48	86	3.07	1.11	3.17	1.17	2.03	0.68	3.87	0.97	2	0.69	–	–	–
328	chauve-souris	chauve-souris	bat	0	100	3.83	0.87	1.63	0.89	3.03	0.63	2.3	0.79	2.88	1.03	2.8	–	–
329	cage	cage	bird cage	0	100	3.13	0.94	1.8	0.89	4.38	0.78	3.5	0.86	2.27	0.78	19.86	–	–
330	poisson-lune	poisson-lune	blowfish	0.67	50	1.57	0.94	1.3	0.65	2.9	0.67	1.2	0.48	4.69	0.88	0.02	–	–
331	cerveau	cerveau	brain	0.15	96	3.37	1	2.8	1.32	3.34	0.9	2.83	1.05	3.12	0.77	50.58	intelligence	19.1
332	buffle	bison	buffalo	0.79	71	2.2	1.42	1.07	0.25	3.48	0.69	1.89	0.42	3.46	1.03	2.08	–	–
333	cactus	cactus	cactus	0	100	3.76	0.83	1.47	1.01	1.9	0.62	3	1.02	2.35	0.85	1.65	désert	30.3
334	compas	pince à épiler	calipers	1.09	43	1.1	0.31	1.53	1.07	1.76	0.64	2.33	0.61	3.46	0.71	4.21	maths	15.7
335	boite de conserve	idem	can	0	100	3.5	0.94	3.9	0.88	3.07	0.65	3.03	1.03	2.69	0.79	–	–	–
336	fromage	gruyère	cheese	0.56	75	3.27	0.98	4.03	1.03	2.34	0.72	4.37	0.81	1.72	0.74	13.48	chèvre	18
337	blatte	blatte	cockroach	1.53	39	3.27	1.26	1.5	0.68	3.24	0.69	2.5	0.97	4.35	0.63	0.38	–	–
338	boussole	boussole	compass	0.41	86	3.9	1.18	2.07	0.94	3.1	0.67	2.27	0.58	3.19	0.75	2.38	–	–
339	crabe	crabe	crab	0	100	4.13	0.51	2.1	0.96	4.1	0.67	3.07	1.01	2.38	0.94	3.95	pinces	45
340	cymbales	cymbales	cymbals	1.12	50	3.73	1.11	1.63	0.96	4.41	0.98	2.2	0.76	3.77	0.95	0	–	–
341	fléchette	fléchette	dart	0	100	3.87	1.01	1.87	0.86	3.76	0.83	2.27	0.69	2.88	0.93	0.42	–	–
342	dinosaure	dinosaure	dinosaur	0.34	89	3.4	1.22	1.14	0.44	3.14	0.69	3.37	1.03	3	1.04	0	–	–
343	niche	niche	doghouse	0.15	96	4.43	0.77	1.83	1.02	2.17	0.8	2.93	1.07	2.42	0.76	5.7	–	–
344	libellule	libellule	dragonfly	0.53	75	3.13	0.97	1.93	0.87	4.41	0.68	2.37	0.72	3	0.94	1.7	–	–
345	chevalet	chevalet	easel	0.78	54	3.03	0.93	2.13	1.17	3.24	0.74	2.53	0.68	4.15	0.78	2.68	–	–
346	anguille	anguille	eel	1.08	54	2.77	0.94	1.27	0.52	2.21	0.68	2	0.64	3.38	0.98	3.14	–	–
347	bocal à poisson	aquarium	fishbowl	0.65	64	4.2	0.66	3.3	1.34	3.59	0.87	2.73	0.98	2.77	0.75	–	–	–
348	queue de poisson	idem	fishtail	0.26	89	3.37	0.93	2.2	1.3	2.9	0.77	2.7	0.95	2.76	1.13	–	–	–
349	flamand rose	flamand rose	flamingo	0.48	86	3.73	0.91	1.23	0.5	2.97	0.73	2.37	0.85	3.31	0.93	–	–	–
350	entonnoir	entonnoir	funnel	0	93	4.3	0.88	2.07	1.11	1.14	0.35	2.13	0.51	3.56	0.87	2.76	–	–
351	hamburger	hamburger	hamburger	0.29	93	4.13	0.94	3.52	0.87	3.55	0.83	3.17	1.12	3.23	1.03	0	–	–
352	hamac	hamac	hammock	0.15	96	2.8	0.89	2.03	0.93	3.1	0.62	2.77	0.9	3.4	1.12	2.12	–	–
353	harmonica	harmonica	harmonica	0	93	3.57	1.04	2.04	0.93	4.24	0.74	2.23	0.68	3.04	0.82	1.48	–	–
354	fer à cheval	fer à cheval	horseshoe	0	100	3.83	0.87	2.1	1.3	2.07	0.59	2.53	1.07	3.19	0.9	–	–	–
355	hyène	hyène	hyena	0.65	82	3.43	1.25	1.1	0.31	3.24	0.58	2.13	0.43	4.04	0.96	1.36	–	–
356	igloo	igloo	igloo	0	100	4.87	0.35	1.27	0.52	2.1	0.62	2.47	0.73	3.08	1.08	0.08	–	–
357	bocal	bocal	jar	1.02	64	2.83	1.42	2.93	1.17	2.66	0.72	2.97	0.96	2.77	0.65	3.06	–	–
358	méduse	méduse	jellyfish	0.3	86	3.47	0.9	1.37	0.56	3.14	0.58	2.7	0.75	2.96	1.1	2.46	–	–
359	koala	koala	koala	0.15	96	4.13	0.73	1.37	0.72	3.52	0.74	2.23	0.73	3.31	1.19	0	–	–
360	louche	louche	ladle	0.15	96	4.3	0.75	3.43	0.94	2.1	0.49	2.23	0.63	2.96	0.82	0.46	–	–
361	coccinelle	coccinelle	ladybug	0.15	96	3.43	0.94	2.27	1.01	3.03	0.78	2.73	0.98	2.23	0.99	1.02	rouge	22.5
362	agneau	agneau	lamb	0.66	79	4.03	0.81	1.9	1.03	3.1	0.56	2.3	0.75	2.58	0.95	9.01	–	–
363	rouge à lèvres	rouge à lèvres	lipstick	0.15	96	4.27	0.64	3.23	1.5	3.07	0.92	3.07	1.2	2.52	0.96	–	–	–
364	lézard	lézard	lizard	0.69	86	3.67	0.71	1.53	0.94	2.76	0.64	2.6	0.93	2.8	1	4.97	–	–
365	lama	lama	llama	0	86	3.7	0.88	1.17	0.46	2.83	0.76	2.2	0.66	3.65	0.98	1.1	–	–
366	poumons	poumons	lungs	0.29	93	3.23	0.94	1.93	1.08	2.79	0.73	2.23	0.68	3.23	0.71	0	–	–
367	élan	élan	moose	1.56	32	3.33	0.92	1.17	0.46	3.1	0.72	1.93	0.45	4.15	0.97	68.83	–	–
368	poulpe	poulpe	octopus	1.01	46	3.33	1.21	1.67	0.88	4	0.6	2.3	0.84	3.88	0.99	0.59	–	–
369	palmier	palmier	palm tree	0	100	3.83	0.95	2.1	1.27	3.76	0.69	2.77	1.19	3.19	0.94	9.91	–	–
370	panda	panda	panda	0.15	96	4	0.95	1.3	0.6	3	0.71	2.23	0.68	2.96	1.14	0	–	–
371	petits pois	petits pois	peas	1.11	39	2.7	1.18	2.9	1.12	2.86	0.69	2.23	0.9	2.77	0.91	–	–	–
372	pélican	pélican	pelican	0.4	86	3.67	1.03	1.07	0.25	3.17	0.6	2.33	0.76	3.2	1.08	2.55	–	–
373	croissant	croissant	French croissant	0	100	4.77	0.57	3.77	0.94	2.93	0.7	3	1.11	2.04	0.6	25.22	–	–
374	hélice	hélice	propeller	0	100	2.83	0.99	1.33	0.8	2.52	0.74	2.47	0.9	3.44	0.87	3.57	–	–
375	pyramide	pyramide	pyramid	0	100	4.5	0.78	1.67	0.88	2.34	0.9	2.87	1.04	3.19	0.98	7.44	–	–
376	rat	rat	rat	0.86	75	3.5	0.82	1.73	0.94	2.83	0.66	2.57	1.1	2.35	0.69	22.07	souris	39.3
377	raie	raie	ray	0.26	89	3.57	0.97	1.53	0.9	2.76	0.79	2.2	0.66	3.69	0.93	8.59	–	–
378	bouton de fleur	fleur	rosebud	1.55	25	3.07	0.94	3.03	1.27	3.9	0.72	3.3	1.21	3.46	1.03	–	–	–
379	saxophone	saxophone	saxophone	0	96	4.37	1.07	1.9	1.03	4.45	0.57	2.5	0.94	3.62	0.9	0.72	–	–
380	scorpion	scorpion	scorpion	0.4	89	4.07	1.01	1.66	0.94	4.21	0.56	2.13	0.68	3.12	0.95	2.04	–	–
381	requin	requin	shark	0	100	3.83	0.91	1.87	0.97	2.28	0.75	3.27	0.87	2.85	1.12	3.02	–	–
382	squelette	squelette	skeleton	0	100	4.77	0.5	1.6	0.81	4.66	0.55	3	1.05	3	0.85	9.78	–	–
383	crâne	crâne	skull	0.55	82	4.1	0.96	1.43	0.68	3.59	0.68	2.97	1.03	3.12	0.77	25.22	os	16.8
384	palette	pelle à tarte	spatula	1.58	18	1	0	2.07	0.94	2.69	0.71	2.27	0.78	–	–	4.1	–	–
385	toile d’araignée	toile d’araignée	spider web	0	100	4.33	0.71	2.83	1.09	2.76	0.91	3	1.05	2.58	0.81	–	–	–
