var,adjusted r,adjusted r-squared,r-squared,r,dataset,language,dim,window,algo
authority,,-0.00192193231437913,-0.00202831233178019,,de-schauenburg-2015.tsv,de,100,4,cbow
community,0.261086865196972,0.0681663511783819,0.0719393964465581,0.268215205472319,de-schauenburg-2015.tsv,de,100,4,cbow
arousal,,-0.00384040158251711,-0.00405296993579296,,de-schauenburg-2015.tsv,de,100,4,cbow
valence,,-0.0039449855630804,-0.00416334269756824,,de-schauenburg-2015.tsv,de,100,4,cbow
imageability (young adults),0.778150358733649,0.605517980797306,0.616700434666648,0.785302766241561,de-grandy-2020.tsv,de,100,4,sg
imageability (older adults),0.782474462510767,0.612266284481514,0.623573363212607,0.789666615232407,de-grandy-2020.tsv,de,100,4,sg
emotionality (young adults),0.568304160784956,0.322969619165493,0.328934087574444,0.57352775658589,de-grandy-2020.tsv,de,100,4,sg
emotionality (older adults),0.589474069841771,0.347479679015821,0.353896789001574,0.594892249908817,de-grandy-2020.tsv,de,100,4,sg
valence,0.617375250538011,0.381152199976872,0.433620250258102,0.658498481591341,de-kanske-2010.tsv,de,100,4,sg
arousal,0.669103441505085,0.447699415433948,0.509328117672296,0.713672276098978,de-kanske-2010.tsv,de,100,4,sg
concreteness,0.772636804479996,0.59696763163706,0.679144063295859,0.824101973845385,de-kanske-2010.tsv,de,100,4,sg
potency,0.511546669361494,0.261679994934837,0.276164127495806,0.525513203921468,de-schauenburg-2015.tsv,de,100,4,sg
authority,0.55045644998404,0.303002303329032,0.319773648531746,0.565485321234553,de-schauenburg-2015.tsv,de,100,4,sg
community,0.554869147432566,0.307879770772542,0.32492108649796,0.570018496627925,de-schauenburg-2015.tsv,de,100,4,sg
arousal,0.641399152200938,0.411392872444082,0.434163695642094,0.65891099220008,de-schauenburg-2015.tsv,de,100,4,sg
valence,0.680437354340849,0.462994993182374,0.488622022325309,0.699015037266946,de-schauenburg-2015.tsv,de,100,4,sg
imageability (young adults),0.442135555001443,0.195483848996434,0.199093963300101,0.446199465822294,de-grandy-2020.tsv,de,100,5,cbow
imageability (older adults),0.435858561672714,0.189972685783407,0.193481022220271,0.439864777198938,de-grandy-2020.tsv,de,100,5,cbow
emotionality (young adults),,-0.020440721699534,-0.0208182124342602,,de-grandy-2020.tsv,de,100,5,cbow
emotionality (older adults),,-0.0256101807932304,-0.026083138945404,,de-grandy-2020.tsv,de,100,5,cbow
valence,,-0.0385735518966844,-0.0438834492567514,,de-kanske-2010.tsv,de,100,5,cbow
arousal,0.018054880245174,0.000325978700667575,0.000370851764126934,0.0192575118882719,de-kanske-2010.tsv,de,100,5,cbow
concreteness,0.288273450854395,0.0831015824675011,0.094541049451082,0.307475282666887,de-kanske-2010.tsv,de,100,5,cbow
potency,0.162783106092089,0.0264983396289883,0.0279650373944304,0.16722750190812,de-schauenburg-2015.tsv,de,100,5,cbow
authority,0.118306195226711,0.0139963558290207,0.0147710618712175,0.121536257434633,de-schauenburg-2015.tsv,de,100,5,cbow
community,0.26400743810869,0.0696999273767138,0.0735578569363105,0.271215517506485,de-schauenburg-2015.tsv,de,100,5,cbow
arousal,0.167878827458781,0.0281833007089351,0.0297432620027876,0.172462349522403,de-schauenburg-2015.tsv,de,100,5,cbow
valence,0.14930638678836,0.0222923971357954,0.0235262936562269,0.153382833642578,de-schauenburg-2015.tsv,de,100,5,cbow
imageability (young adults),0.77334034155647,0.598055283878678,0.609099919769561,0.780448537553605,de-grandy-2020.tsv,de,100,5,sg
imageability (older adults),0.777281118018849,0.604165936428631,0.615323421305702,0.78442553585774,de-grandy-2020.tsv,de,100,5,sg
emotionality (young adults),0.546269057929338,0.298409883651006,0.303920793093677,0.551290116992566,de-grandy-2020.tsv,de,100,5,sg
emotionality (older adults),0.569538352164266,0.324373934585987,0.330364337307222,0.574773292096303,de-grandy-2020.tsv,de,100,5,sg
valence,0.608466474655208,0.370231450779336,0.421196189737584,0.648996294086171,de-kanske-2010.tsv,de,100,5,sg
arousal,0.658268463547434,0.4333173701011,0.492966291355062,0.702115582618035,de-kanske-2010.tsv,de,100,5,sg
concreteness,0.750409684085553,0.563114693969379,0.640631051159703,0.800394309799678,de-kanske-2010.tsv,de,100,5,sg
potency,0.519301175701742,0.269673711085211,0.284600300259669,0.533479428150392,de-schauenburg-2015.tsv,de,100,5,sg
authority,0.563484887101794,0.317515217992122,0.335089861054416,0.578869468062029,de-schauenburg-2015.tsv,de,100,5,sg
community,0.571163498302619,0.326227741793285,0.344284627870404,0.586757725019794,de-schauenburg-2015.tsv,de,100,5,sg
arousal,0.619355216391362,0.38360088407119,0.404833405329743,0.636265200470483,de-schauenburg-2015.tsv,de,100,5,sg
valence,0.659596000977101,0.435066884504984,0.459148077374264,0.677604661564739,de-schauenburg-2015.tsv,de,100,5,sg
imageability (young adults),0.438357187515278,0.192157023846305,0.195705699728732,0.442386369284511,de-grandy-2020.tsv,de,100,6,cbow
imageability (older adults),0.428552917924178,0.183657603461327,0.187049315588118,0.432491983264567,de-grandy-2020.tsv,de,100,6,cbow
emotionality (young adults),,-0.00292458639232273,-0.0029785964357173,,de-grandy-2020.tsv,de,100,6,cbow
emotionality (older adults),,-0.0116753790523487,-0.0118909950898577,,de-grandy-2020.tsv,de,100,6,cbow
valence,,-0.0387976166267951,-0.0441383579371958,,de-kanske-2010.tsv,de,100,6,cbow
arousal,0.112948042713983,0.0127572603529197,0.0145133792410918,0.12047148725359,de-kanske-2010.tsv,de,100,6,cbow
concreteness,0.264255708304695,0.0698310793716161,0.0794437763044552,0.28185772351393,de-kanske-2010.tsv,de,100,6,cbow
potency,0.255125285090536,0.0650889110925271,0.0686916183485711,0.262090858956529,de-schauenburg-2015.tsv,de,100,6,cbow
authority,,-0.0116566299200925,-0.0123018308381788,,de-schauenburg-2015.tsv,de,100,6,cbow
community,0.285653407771632,0.0815978693715462,0.0861143566061336,0.29345247759413,de-schauenburg-2015.tsv,de,100,6,cbow
arousal,0.181692495773511,0.0330121630204072,0.0348394045160017,0.186653166370147,de-schauenburg-2015.tsv,de,100,6,cbow
valence,0.0948111986180209,0.0089891633833858,0.0094867185522079,0.0973997872287609,de-schauenburg-2015.tsv,de,100,6,cbow
imageability (young adults),0.760708260190748,0.578677057122435,0.589363823992672,0.767700347787255,de-grandy-2020.tsv,de,100,6,sg
imageability (older adults),0.762280310920176,0.58107127241656,0.591802254657651,0.769286848098712,de-grandy-2020.tsv,de,100,6,sg
emotionality (young adults),0.553992177552538,0.306907332789402,0.312575169583549,0.559084224051751,de-grandy-2020.tsv,de,100,6,sg
emotionality (older adults),0.569145969915505,0.323927135071061,0.329909286484947,0.574377303246696,de-grandy-2020.tsv,de,100,6,sg
valence,0.615240328434151,0.378520661731762,0.43062646385866,0.656221352790855,de-kanske-2010.tsv,de,100,6,sg
arousal,0.67069947232969,0.449837782183324,0.511760844349629,0.7153746181894,de-kanske-2010.tsv,de,100,6,sg
concreteness,0.742016959978472,0.550589168895693,0.62638130704857,0.791442548166682,de-kanske-2010.tsv,de,100,6,sg
potency,0.5223893881353,0.272890672836373,0.287995322624364,0.536651956694806,de-schauenburg-2015.tsv,de,100,6,sg
authority,0.519186929689401,0.269555067960307,0.284475090172132,0.533362062929237,de-schauenburg-2015.tsv,de,100,6,sg
community,0.548944119203863,0.301339646008505,0.318018962208238,0.563931699949771,de-schauenburg-2015.tsv,de,100,6,sg
arousal,0.595323364883183,0.354409908775835,0.374026693394424,0.611577217851045,de-schauenburg-2015.tsv,de,100,6,sg
valence,0.647194530645691,0.418860760497697,0.442044935432994,0.664864599323045,de-schauenburg-2015.tsv,de,100,6,sg
imageability (young adults),0.803415578712375,0.645476592117741,0.657396984978069,0.810800212739284,de-grandy-2020.tsv,de,200,1,cbow
imageability (older adults),0.811683154197709,0.658829542808342,0.670996532400481,0.819143780053588,de-grandy-2020.tsv,de,200,1,cbow
emotionality (young adults),0.583993977295564,0.341048965517491,0.347347315764769,0.589361786820938,de-grandy-2020.tsv,de,200,1,cbow
emotionality (older adults),0.622763600867177,0.387834502565052,0.39499686862421,0.62848776330507,de-grandy-2020.tsv,de,200,1,cbow
valence,0.623411174497255,0.388641492488047,0.442140492022806,0.664936457131662,de-kanske-2010.tsv,de,200,1,cbow
arousal,0.659878723605673,0.435439929867452,0.495381035116555,0.703833101748245,de-kanske-2010.tsv,de,200,1,cbow
concreteness,0.784131991877974,0.614862980686519,0.699502822168963,0.836362853173766,de-kanske-2010.tsv,de,200,1,cbow
potency,0.553055856708835,0.305870780639943,0.322800897649534,0.568155698422126,de-schauenburg-2015.tsv,de,200,1,cbow
authority,0.58640080070589,0.343865899068509,0.362899066913629,0.60241104481378,de-schauenburg-2015.tsv,de,200,1,cbow
community,0.601291602581795,0.361551591335384,0.381563672036604,0.617708403728332,de-schauenburg-2015.tsv,de,200,1,cbow
arousal,0.66155217525326,0.43765128058232,0.461875521204957,0.679614244409987,de-schauenburg-2015.tsv,de,200,1,cbow
valence,0.70760320337564,0.500702293427468,0.528416442510169,0.726922583574186,de-schauenburg-2015.tsv,de,200,1,cbow
imageability (young adults),0.804561630517672,0.647319417301254,0.659273842689529,0.81195679853643,de-grandy-2020.tsv,de,200,1,sg
imageability (older adults),0.809477573315799,0.655253941701235,0.667354898581376,0.816917926465919,de-grandy-2020.tsv,de,200,1,sg
emotionality (young adults),0.62003027638655,0.384437543635982,0.391537176072482,0.625729315337296,de-grandy-2020.tsv,de,200,1,sg
emotionality (older adults),0.646154686062431,0.417515878320438,0.425226387664666,0.652093848816768,de-grandy-2020.tsv,de,200,1,sg
valence,0.646917976694909,0.418502868571035,0.476112478465341,0.69000904230694,de-kanske-2010.tsv,de,200,1,sg
arousal,0.665186304716016,0.442472819981749,0.503382047760806,0.709494219681039,de-kanske-2010.tsv,de,200,1,sg
concreteness,0.794130206182417,0.630642784371328,0.717454817259758,0.847027046356702,de-kanske-2010.tsv,de,200,1,sg
potency,0.548080297805741,0.30039201284283,0.317018877022322,0.563044294014532,de-schauenburg-2015.tsv,de,200,1,sg
authority,0.613223963948546,0.376043629960768,0.396857853021327,0.629966549128862,de-schauenburg-2015.tsv,de,200,1,sg
community,0.562034787961396,0.315883102878811,0.333367407466199,0.577379777500216,de-schauenburg-2015.tsv,de,200,1,sg
arousal,0.667149592510989,0.445088578787578,0.469724477982463,0.685364485498383,de-schauenburg-2015.tsv,de,200,1,sg
valence,0.725384850115309,0.526183180776809,0.555307711078109,0.745189714823084,de-schauenburg-2015.tsv,de,200,1,sg
imageability (young adults),0.468594396510499,0.219580708441039,0.223635833508516,0.472901505081677,de-grandy-2020.tsv,de,200,2,cbow
imageability (older adults),0.474140714332071,0.224809416987326,0.228961103666463,0.478498802157815,de-grandy-2020.tsv,de,200,2,cbow
emotionality (young adults),0.0684159482308623,0.00468074197232804,0.00476718396553016,0.0690447968027292,de-grandy-2020.tsv,de,200,2,cbow
emotionality (older adults),0.0490416967527982,0.00240508802039341,0.00244950418422779,0.0494924659339964,de-grandy-2020.tsv,de,200,2,cbow
valence,,-0.0100376632785636,-0.0114194121485365,,de-kanske-2010.tsv,de,200,2,cbow
arousal,0.1570590608502,0.0246675485951469,0.0280631952163218,0.167520730706148,de-kanske-2010.tsv,de,200,2,cbow
concreteness,0.276505115707601,0.0764550790124737,0.0869796120733489,0.294923061277596,de-kanske-2010.tsv,de,200,2,cbow
potency,0.185205796830529,0.0343011871796312,0.0361997768759207,0.190262389546439,de-schauenburg-2015.tsv,de,200,2,cbow
authority,,-0.0168527962895029,-0.0177856078922429,,de-schauenburg-2015.tsv,de,200,2,cbow
community,0.251163319920564,0.0630830132735194,0.0665746929750057,0.258020721987606,de-schauenburg-2015.tsv,de,200,2,cbow
arousal,0.200175022791422,0.0400700397495463,0.0422879386286725,0.205640313724407,de-schauenburg-2015.tsv,de,200,2,cbow
valence,0.157175697174967,0.0247041997824369,0.0260715909143061,0.161466996362433,de-schauenburg-2015.tsv,de,200,2,cbow
imageability (young adults),0.802310026757896,0.643701379036256,0.655588988000776,0.809684499049337,de-grandy-2020.tsv,de,200,2,sg
imageability (older adults),0.808125807162734,0.65306732020242,0.665127895467455,0.815553735487402,de-grandy-2020.tsv,de,200,2,sg
emotionality (young adults),0.606742201865696,0.368136099524833,0.374934683681087,0.612319102822284,de-grandy-2020.tsv,de,200,2,sg
emotionality (older adults),0.627040640692634,0.393179965080229,0.400441048914717,0.632804115753617,de-grandy-2020.tsv,de,200,2,sg
valence,0.636839798294304,0.40556492869153,0.461393547999465,0.679259558636804,de-kanske-2010.tsv,de,200,2,sg
arousal,0.663289002233926,0.439952300484477,0.500514562553444,0.707470538293605,de-kanske-2010.tsv,de,200,2,sg
concreteness,0.786841516879244,0.61911957268483,0.704345361416189,0.839252859045585,de-kanske-2010.tsv,de,200,2,sg
potency,0.544641544861191,0.296634412388785,0.313053291303293,0.559511654305157,de-schauenburg-2015.tsv,de,200,2,sg
authority,0.589969742378138,0.348064296921726,0.367329848411858,0.606077427736637,de-schauenburg-2015.tsv,de,200,2,sg
community,0.571701057063546,0.326842098647576,0.34493298971663,0.587309960512019,de-schauenburg-2015.tsv,de,200,2,sg
arousal,0.656073894016761,0.430432954410316,0.45425765668395,0.673986392061405,de-schauenburg-2015.tsv,de,200,2,sg
valence,0.710276541887838,0.504492765956146,0.532416719791357,0.729668911076357,de-schauenburg-2015.tsv,de,200,2,sg
imageability (young adults),0.487901325490469,0.238047703415357,0.242443869254461,0.492385894654245,de-grandy-2020.tsv,de,200,3,cbow
imageability (older adults),0.473573485628162,0.224271846290007,0.228413605337406,0.47792635974322,de-grandy-2020.tsv,de,200,3,cbow
emotionality (young adults),,-0.00345496754792092,-0.00351877244959176,,de-grandy-2020.tsv,de,200,3,cbow
emotionality (older adults),,-0.00220950354331892,-0.0022503077344922,,de-grandy-2020.tsv,de,200,3,cbow
valence,,-0.034571551932091,-0.0393305482731411,,de-kanske-2010.tsv,de,200,3,cbow
arousal,,-0.00573775607397572,-0.00652759507847067,,de-kanske-2010.tsv,de,200,3,cbow
concreteness,0.259237274229869,0.0672039643501323,0.0764550220138023,0.27650501263775,de-kanske-2010.tsv,de,200,3,cbow
potency,0.25902192230072,0.0670923562323605,0.0708059552858121,0.266093884345004,de-schauenburg-2015.tsv,de,200,3,cbow
authority,,-0.0184516023790804,-0.0194729087838266,,de-schauenburg-2015.tsv,de,200,3,cbow
community,0.220152838701048,0.0484672723881295,0.051149962741716,0.226163575187774,de-schauenburg-2015.tsv,de,200,3,cbow
arousal,0.1800451308724,0.0324162491508596,0.034210506483933,0.184960824186997,de-schauenburg-2015.tsv,de,200,3,cbow
valence,,-0.00275567523209927,-0.00290820338147746,,de-schauenburg-2015.tsv,de,200,3,cbow
imageability (young adults),0.788703851605061,0.622053765536659,0.633541595391363,0.795953262064654,de-grandy-2020.tsv,de,200,3,sg
imageability (older adults),0.79593622483456,0.633514474003892,0.64521395544915,0.803252112010389,de-grandy-2020.tsv,de,200,3,sg
emotionality (young adults),0.588262996863623,0.34605335347897,0.352444122678778,0.593670045293493,de-grandy-2020.tsv,de,200,3,sg
emotionality (older adults),0.620587204589877,0.385128478500678,0.392240870834482,0.626291362573748,de-grandy-2020.tsv,de,200,3,sg
valence,0.640348354002949,0.410046014474287,0.466491484043557,0.683001818477489,de-kanske-2010.tsv,de,200,3,sg
arousal,0.671590463256075,0.451033750336509,0.513121445206495,0.716324957827448,de-kanske-2010.tsv,de,200,3,sg
concreteness,0.774251727338395,0.599465737286488,0.681986049245151,0.825824466363858,de-kanske-2010.tsv,de,200,3,sg
potency,0.563736708887045,0.317799076946797,0.335389431759351,0.579128165227138,de-schauenburg-2015.tsv,de,200,3,sg
authority,0.564767197920714,0.318961987847215,0.336616710421784,0.580186789251344,de-schauenburg-2015.tsv,de,200,3,sg
community,0.570244623507781,0.325178930639531,0.343177764438767,0.585813762589073,de-schauenburg-2015.tsv,de,200,3,sg
arousal,0.643552348516412,0.414159625280989,0.437083589779937,0.66112297629105,de-schauenburg-2015.tsv,de,200,3,sg
valence,0.682599534523788,0.465942124532092,0.491732279026488,0.701236250507978,de-schauenburg-2015.tsv,de,200,3,sg
imageability (young adults),0.44454359140902,0.19761900466283,0.201268550132045,0.448629635815608,de-grandy-2020.tsv,de,200,4,cbow
imageability (older adults),0.43441867869501,0.188719588399118,0.192204783155408,0.438411659465631,de-grandy-2020.tsv,de,200,4,cbow
emotionality (young adults),0.0875277858393092,0.00766111329393197,0.00780259554336804,0.0883323018117837,de-grandy-2020.tsv,de,200,4,cbow
emotionality (older adults),0.0531570388007983,0.00282567077406958,0.00287785408502489,0.0536456343519665,de-grandy-2020.tsv,de,200,4,cbow
valence,,-0.0312626820307856,-0.0355661911613033,,de-kanske-2010.tsv,de,200,4,cbow
arousal,0.162123414327382,0.0262840014731679,0.0299021632231716,0.172922419666079,de-kanske-2010.tsv,de,200,4,cbow
concreteness,0.253785174585545,0.0644069148394154,0.0732729406591757,0.270689749822884,de-kanske-2010.tsv,de,200,4,cbow
potency,0.211175362744148,0.0445950338301227,0.047063393636218,0.216940991138646,de-schauenburg-2015.tsv,de,200,4,cbow
authority,,-0.000305752876670975,-0.000322676467630623,,de-schauenburg-2015.tsv,de,200,4,cbow
community,0.23787316038968,0.0565836404337745,0.0597155762511421,0.244367707054639,de-schauenburg-2015.tsv,de,200,4,cbow
arousal,0.0689591944701039,0.00475537050196561,0.0050185828913733,0.0708419571396309,de-schauenburg-2015.tsv,de,200,4,cbow
valence,,-0.00571095594763779,-0.00602706052038526,,de-schauenburg-2015.tsv,de,200,4,cbow
imageability (young adults),0.787462486420268,0.620097167519191,0.631548863736638,0.794700486810369,de-grandy-2020.tsv,de,200,4,sg
imageability (older adults),0.793094055124262,0.628998180273446,0.64061425668714,0.800383818356631,de-grandy-2020.tsv,de,200,4,sg
emotionality (young adults),0.589451016868291,0.347452501287062,0.353869109365841,0.594868985042791,de-grandy-2020.tsv,de,200,4,sg
emotionality (older adults),0.610607144612523,0.372841085051859,0.379726558921186,0.616219570381521,de-grandy-2020.tsv,de,200,4,sg
