		Lang				Ito				Libkuman				
eroticma	4531	5.81	1.94	4.28	2.76	5.26	1.84	3.61	2.56	51	5.69	2.16	5.26	2.28
attraman	4532	6.4	1.78	4.15	2.44	5.52	2.06	3.32	2.79	38	5.21	2.48	3.34	2.3
attractm	4533	6.22	2.24	5.01	2.47	6.48	2.38	4.84	2.99	68	5.22	2.24	3.9	2.72
maledanc	4534	5.7	1.68	4.16	2.37	5.64	1.89	4.6	2.45	38	5.21	2.08	4.45	2.53
weightli	4535	6.27	1.7	4.95	2.32	6.04	1.74	4.48	2.18	26	5.89	1.9	5.19	2.56
attractm	4536	6.01	1.49	3.95	2.3					26	4.81	1.5	4.27	2.11
eroticma	4550	4.95	2.31	5	2.66					29	4.41	2.26	4.17	2.54
eroticma	4561	5.02	2.28	4.35	2.67					25	4.83	2.3	5	2.15
attraman	4571	5.49	1.52	3.54	2.31					25	6.24	1.67	4.72	2.64
manattra	4572	6.15	2.06	4.8	2.57					40	6.92	2.11	5.48	2.87
couple  	4598	6.33	2.76	5.53	2.39					26	5.31	2.19	4.08	2.41
romance 	4599	7.12	1.48	5.69	1.94	7.19	2.43	7.42	1.77	41	6.63	1.58	5.73	1.98
romance 	4601	6.82	1.22	5.08	2.01	7.26	2	5.65	2.48	50	6.45	1.62	5.18	2.46
romance 	4603	7.1	1.58	4.89	2.26	7.44	1.87	4.56	2.35	25	6.64	1.55	4.36	2.29
couple  	4605	5.59	1.52	3.84	2.12					41	4.98	1.51	3.12	2.1
romance 	4606	6.55	1.62	5.11	2.15	5.36	1.75	3.96	2.13	39	6.31	1.82	4.77	2.18
eroticco	4607	7.03	1.84	6.34	2.16	6.41	1.82	5.39	1.59	41	6.05	1.97	6.1	1.85
erotcoup	4608	7.07	1.66	6.47	1.96	5.79	1.6	4.89	1.85	25	5.6	1.96	5.36	2.14
couple  	4609	6.71	1.67	5.54	2.05	5.61	1.52	3.5	2.22	29	5.17	1.97	4.41	2.24
romance 	4610	7.29	1.74	5.1	2.29	7.5	2.31	5.22	2.77	38	6.08	2.64	3.82	2.38
erotic c	4611	6.62	1.82	6.04	2.11	6.14	1.38	4.61	1.77	26	5.69	1.83	5	2.14
condom  	4613	5.34	1.77	4.66	2.2					39	4.21	1.54	4.1	2.34
romance 	4614	7.15	1.44	4.67	2.47					26	6.69	1.78	3.15	2.22
eroticfe	4617	6.6	1.57	5.19	2.1					27	6.19	1.57	4.74	2.61
harassme	4621	3.19	1.59	4.92	2.24					25	2.28	1.62	4.32	2.85
bikecoup	4631	5.36	1.86	5.19	2.04	4.21	2.01	3.96	1.91	29	5.17	1.67	4.14	2.43
prostitu	4635	3.86	1.85	4.23	2.35					26	2.27	1.46	3.31	2.31
romance 	4640	7.18	1.97	5.52	2.28	6.74	1.48	3.83	1.87	40	6.15	1.73	4.88	2.17
romance 	4641	7.2	1.59	5.43	2.1	6.45	2.31	5.55	2.34	40	7.25	1.35	5.5	2.21
eroticco	4650	6.96	1.54	5.67	2.14	5.61	1.73	4.79	2.08	25	4.84	1.62	4.48	1.94
erticcpl	4651	6.32	2.18	6.34	2.05	5.93	1.98	5.39	2.02	41	1.22	0.76	5.05	2.26
eroticco	4652	6.79	2.02	6.62	2.04	6.18	2.42	5.86	2.29	41	5.9	2.22	5.55	2.49
eroticco	4653	6.56	1.65	5.83	2.07	5.46	1.67	3.96	2.06	25	5.96	2.49	6.04	1.81
eroticco	4656	6.73	1.94	6.41	2.19					25	5.52	1.83	5.44	2.22
eroticco	4658	6.62	1.89	6.47	2.14					25	5.44	2.42	6.21	2.49
erotcoup	4659	6.87	1.99	6.93	2.07	6.25	2.01	6.14	2.14	25	5.28	1.77	5.72	2.48
erotcoup	4660	7.4	1.36	6.58	1.88	6	1.76	4.43	2.23	43	4.91	2.02	5.44	2.23
erotcoup	4664	6.61	2.23	6.72	2.08	6.43	2.17	6.46	2.05	40	5.3	2.26	6.13	2.34
erotic  	4664.1	5.63	2.61	6.63	1.87					27	4.93	2.64	5.7	2.84
attack  	4664.2	2.79	1.77	6.13	2.29					41	1.76	1.16	5.27	2.63
eroticco	4666	6.24	1.78	6.1	2.2					25	5.24	1.88	6.32	1.22
eroticco	4669	5.97	2.13	6.11	2.42					41	5.85	2.19	5.3	2.42
eroticco	4670	6.99	1.73	6.74	2.03					25	5.8	1.83	5.88	1.88
eroticou	4672	6	2.04	6.29	2.37					40	4.93	2.08	6.18	2.11
eroticco	4680	7.25	1.83	6.02	2.27	6.32	2.4	6.11	2.06	26	4.88	1.9	5.6	2.29
eroticco	4681	6.69	1.82	6.68	1.7					29	4.72	1.49	5.34	2.21
eroticco	4683	6.17	2.07	6.62	1.79					25	5.44	1.96	5.36	2.1
erotcoup	4687	6.87	1.51	6.51	2.1					40	5.18	2.02	5.7	1.87
eroticco	4689	6.9	1.55	6.21	1.74					26	5.65	1.77	5.32	1.91
erotcoup	4690	6.83	1.94	6.06	2.21	6.25	1.9	5.36	1.81	25	4.92	2.27	5.36	2.23
couple  	4700	6.91	1.94	4.05	1.9	7.4	2.11	3.7	2.7	26	6.58	1.39	3.92	2.2
nudewoma	4750	5.57	1.92	4.9	2.15	5.57	1.81	4.18	2.33	38	4.39	2.2	4.08	2.59
femakiss	4770	4.91	2.61	5.85	2.22	5.04	2.59	5.04	2.47	43	4.05	1.98	4.14	2.31
erotcoup	4800	6.44	2.22	7.07	1.78	5.86	2.14	5.75	2.19	25	4.68	1.84	5.68	2.14
eroticco	4810	6.56	2.09	6.66	2.14	5.86	2.01	5.89	2.17	26	5.08	1.92	5.88	1.66
flower  	5000	7.08	1.77	2.67	1.99	7.3	7.71	3.48	2.47	25	6.92	1.85	2.24	1.39
sunflowe	5001	7.16	1.56	3.79	2.34	5.94	1.95	3.13	2.06	25	6.88	1.15	4.13	2.54
flower  	5010	7.14	1.5	3	2.25	7.67	1.47	2.67	1.98	26	7.04	1.43	3.19	1.94
flower  	5020	6.32	1.68	2.63	2.1	6.69	1.72	2.54	1.96	38	5.97	1.84	3.21	1.99
flower  	5030	6.51	1.73	2.74	2.13	6.89	1.72	3.07	2.25	25	6.24	1.64	3.6	2.1
pineneed	5120	4.39	1.34	3.07	2.12					43	4	1.36	1.88	1.45
rocks   	5130	4.45	1.13	2.51	1.72					25	3.91	1.48	1.73	1.39
flowers 	5200	7.36	1.52	3.2	2.16	7.41	1.7	2.62	1.97	40	6.73	1.66	3.53	2.14
nature  	5201	7.06	1.71	3.83	2.49	6.84	1.7	3.29	2.33	41	1.63	1.46	6.88	1.29
nature  	5220	7.01	1.5	3.91	2.27	7.66	1.7	3.83	2.74	29	5.07	2.14	3.1	2.5
nature  	5250	6.08	2.01	3.64	2.27	5.48	2.49	4.28	2.7	41	1.41	1.18	5.05	1.92
waterfal	5260	7.34	1.74	5.71	2.53	7.25	1.59	4.85	2.35	26	6.81	1.41	4.42	2.67
nature  	5270	7.26	1.57	5.49	2.54	6.83	1.67	4.48	2.71	25	5.52	1.66	2.96	2.19
galaxy  	5300	6.91	1.8	4.36	2.62	6.77	1.53	4.77	3.01	40	4.73	1.88	4.15	2.46
boat    	5390	5.59	1.54	2.88	1.97					25	5.96	1.72	2.04	1.78
boat    	5395	5.34	1.21	4.23	2.03					29	4.59	1.02	3.03	1.95
violinis	5410	6.11	1.58	3.29	2.09					25	5.32	1.68	3.2	2.02
liftoff 	5450	7.01	1.6	5.84	2.4	6.74	1.84	5.61	2.13	25	4.28	1.84	1.64	1.04
cockpit 	5455	5.79	1.37	4.56	2.17					29	4.1	1.54	2.59	1.97
astronau	5460	7.33	1.51	5.87	2.5	7	1.71	5.35	2.31	40	5.45	1.84	3.28	2.31
astronau	5470	7.35	1.62	6.02	2.26	7.1	1.62	4.4	2.44	41	4.5	2.15	3.75	2.47
firework	5480	7.53	1.63	5.48	2.35	6.5	2.5	4.85	2.98	39	6.72	1.97	4.21	2.42
mushroom	5500	5.42	1.58	3	2.42	5.3	1.32	3.44	2.33	25	4.12	1.69	2.08	1.61
mushroom	5510	5.15	1.43	2.82	2.18	5.3	1.71	3.81	2.25	25	4.72	1.43	1.72	1.14
mushroom	5520	5.33	1.49	2.95	2.42	5.15	1.43	3.71	2.31	26	4.36	1.82	1.92	1.67
mushroom	5530	5.38	1.6	2.87	2.29	5.04	1.43	3.48	2.41	41	5.07	1.25	2.88	2.17
mushroom	5531	5.15	1.45	3.69	2.11	5.97	2.29	4.71	3.07	25	4.16	1.34	2.24	1.67
mushroom	5532	5.19	1.69	3.79	2.2	6	2.45	4.61	2.99	41	4.32	1.62	2.78	2.15
mushroom	5533	5.31	1.17	3.12	1.92	5.32	1.38	3.84	2.27	29	4.62	1.8	2.83	2.19
mushroom	5534	4.84	1.44	3.14	2.03	5.4	1.29	3.56	2.04	41	4.66	3.04	4.68	1.4
stillife	5535	4.81	1.52	4.11	2.31					40	4.23	1.46	2.45	1.8
sky     	5593	6.47	1.57	3.98	2.31					25	6.48	2.14	3.8	2.29
sky     	5594	7.39	1.45	4.15	2.76					40	7.23	1.39	3.7	2.57
mountain	5600	7.57	1.48	5.19	2.7	8.24	1.13	5.26	2.88	26	6.27	1.93	4.32	2.88
skydiver	5621	7.57	1.42	6.99	1.95	7.84	1.59	7.58	1.8	25	7.28	1.21	5.36	2.45
shark   	5622	6.33	1.78	5.34	1.96	5.8	2.31	6	2.2	25	6.04	1.64	3.96	2.57
windsurf	5623	7.19	1.44	5.67	2.32	7.72	1.62	5.64	2.43	29	5.97	1.55	3.69	2.56
hnglider	5626	6.71	2.06	6.1	2.19	7.72	1.4	5.8	2.58	25	6.2	1.89	4.08	2.02
mountain	5628	6.51	1.95	5.46	2.09	7	1.29	5.96	1.65	32	6.22	1.84	4.66	2.62
hiker   	5629	7.03	1.55	6.55	2.11	6.97	1.68	6.65	2.2	25	5.52	1.83	3.36	2.08
mountain	5660	7.27	1.59	5.07	2.62	7.15	1.66	4.1	3.21	25	6.76	1.56	3.76	2.24
mountain	5700	7.61	1.46	5.68	2.33	6.25	1.11	3.57	2.17	25	5.32	1.77	4	2.31
farmland	5720	6.31	1.6	2.79	2.2	6.17	1.44	3.35	2.31	68	4.96	2.34	2.78	2.32
flowers 	5731	5.39	1.58	2.74	1.95	5.4	1.63	3.12	2.24	38	5.82	2.05	2.74	2.13
plant   	5740	5.21	1.38	2.59	1.99					25	5.23	1.19	1.55	0.91
nature  	5750	6.6	1.84	3.14	2.25	7.14	1.53	3.79	2.64	25	6	2.12	3.08	2.16
nature  	5760	8.05	1.23	3.22	2.39	7.96	1.48	3.63	2.78	29	6.38	1.97	3.41	2.37
courtyar	5779	7.33	1.42	3.57	2.3					52	6.54	2.02	4.19	2.36
nature  	5780	7.52	1.54	3.75	2.3	7.17	1.47	3.3	2.4	25	6.52	1.64	3.72	2.44
leaves  	5800	6.36	1.7	2.51	2.01	5.8	2.09	2.8	2.97	25	6.87	1.82	3.87	2.42
mountain	5820	7.33	1.73	4.61	2.59	6.96	2.42	4.76	2.81	43	6.05	1.86	2.63	2.28
sunset  	5830	8	1.48	4.92	2.65	7.84	1.66	4.62	2.81	25	7	2	4.2	2.6
seagulls	5831	7.63	1.15	4.43	2.49					25	6.28	1.74	3.4	2.2
flowers 	5849	6.65	1.93	4.89	2.43					40	6.45	1.83	3.58	2.35
clouds  	5870	6.78	1.76	3.1	2.22	7.52	1.55	2.69	2.32	26	6.73	1.64	3.69	2.6
bicyclis	5875	6.03	1.43	3.29	2.12					25	5.44	1.53	2.92	2.02
earth   	5890	6.67	1.75	4.6	2.3	7.14	1.71	4.21	2.9	40	6.13	1.51	2.87	2.26
clouds  	5891	7.22	1.46	3.29	2.57	6.7	1.4	3.35	2.39	25	6.48	1.53	3.87	2.88
desert  	5900	5.93	1.64	4.38	2.1	6.03	2.1	3.52	2.77	29	4.88	2.02	2.53	2.74
firework	5910	7.8	1.23	5.59	2.55	7.3	1.58	5.26	2.58	25	6.52	1.78	4.16	2.44
volcano 	5920	5.16	1.92	6.23	2.08	4.31	2.07	5.69	2.54	25	4.52	1.96	3.76	2.3
lava    	5940	4.23	1.68	6.29	1.85	3.11	1.4	5.46	2.6	41	3.41	3.05	2.63	1.76
lightnin	5950	5.99	2.07	6.79	1.98	5.93	1.96	5.79	2.72	26	3.76	1.71	3.8	2
tornado 	5970	4.14	1.77	4.88	2.59	2.92	2.17	6.42	2.69	26	2.58	1.3	4.62	2.17
tornado 	5971	3.49	1.87	6.65	2.02					26	2.15	1.12	4.38	2.31
tornado 	5972	3.85	2.33	6.34	2.2					27	1.63	0.74	4.56	2.94
sky     	5982	7.61	1.48	4.51	2.85	6.9	1.8	3.6	2.76	41	6.58	2.15	3.98	2.63
sky     	5990	6.54	1.78	4.44	2.43	5.87	1.32	3.7	2.22	26	6.04	1.75	2.69	1.85
sky     	5991	6.55	2.09	4.01	2.44	6.81	2.01	4.77	2.36	40	6.13	2.51	3.3	2.36
skyline 	5994	6.8	1.75	4.61	2.31					29	6.32	1.91	4.62	2.31
prison  	6000	4.04	1.74	4.91	2.17	3.79	1.72	4.52	2.69	26	2.62	1.53	2.96	1.95
jail    	6010	3.73	1.98	3.95	1.87	4.92	2.58	4.85	3.04	25	3.16	1.86	4.04	2.18
elechair	6020	3.41	1.98	5.58	2.01	3.73	2.78	6.12	2.29	40	2.18	1.71	3.55	2.5
outlet  	6150	5.08	1.17	3.22	2.02	4.79	1.54	2.07	1.96	40	4.15	1.61	1.65	1.35
aimedgun	6190	3.57	1.84	5.64	2.03	2.77	1.88	6.62	2.04	40	2.23	2.07	5	2.64
aimedgun	6200	2.71	1.58	6.21	2.28	2.33	1.3	7.44	1.69	38	2.03	1.46	4.61	2.31
aimedgun	6210	2.95	1.83	6.34	2.14	2.26	1.51	7.26	1.95	68	2.01	1.57	4.44	2.66
attack  	6211	3.62	2.07	5.9	2.22	3	1.66	6.72	1.86	26	2	1.26	3.69	2.62
soldier 	6212	2.19	1.49	6.01	2.44	2.2	1.91	6.84	1.91	50	1.82	1.36	4.47	2.74
terroris	6213	2.91	1.52	5.86	2.06					41	2.02	1.47	4.66	2.29
aimedgun	6230	2.37	1.57	7.35	2.01	1.96	1.29	7.64	2	26	2	2.15	4.88	3.09
gun     	6241	3.42	1.52	4.54	2.35					25	2.8	2.1	2.75	2.07
gang    	6242	2.69	1.59	5.43	2.36					29	2.31	1.61	5.31	2.14
aimedgun	6243	2.33	1.49	5.99	2.23					39	1.62	0.94	5.23	2.53
aimedgun	6244	3.09	1.78	5.68	2.51					41	2.1	1.74	4.9	3.14
aimedgun	6250	2.83	1.79	6.54	2.61	3.16	2.28	6.97	2.14					
aimed gu	6250.1	2.68	1.74	6.92	1.92					26	1.5	0.81	5.42	2.3
icecream	6250.2	6.32	1.7	5.13	2.06					68	5.82	1.9	3.81	2.33
aimedgun	6260	2.44	1.54	6.93	1.93	3.3	2.36	5.7	3.13	26	2.27	1.69	4.92	2.76
knife   	6300	2.59	1.66	6.61	1.97	2.91	1.24	5.83	1.95	25	1.24	0.72	4.84	2.61
abductio	6312	2.48	1.52	6.37	2.3	2.96	1.65	6.8	1.68	26	1.58	1.14	5.15	2.41
attack  	6313	1.98	1.38	6.94	2.23	2.1	1.99	7.74	1.55	25	1.08	0.28	4.96	2.76
attack  	6314	4.09	1.51	4.6	2.31					25	2.84	1.57	4.44	2.58
attack  	6350	1.9	1.29	7.29	1.87	2.3	1.43	6.13	2.16	41	2.1	1.95	1.8	1.63
attack  	6360	2.23	1.73	6.33	2.51	2.04	1.66	6.48	2.11	25	1.92	1.26	2.88	2.2
attack  	6370	2.7	1.52	6.44	2.19	3.7	1.64	5.39	2.5	26	1.73	1.15	4.32	2.9
aimedgun	6410	3.49	2.07	5.89	2.28	2.78	1.55	6.67	2.17	25	3.2	1.5	3.36	2.16
attack  	6510	2.46	1.58	6.96	2.09	3.25	2.2	6.1	2.79	25	2.12	2.01	5.67	2.44
attack  	6530	2.76	1.86	6.18	2.02	3.1	2.86	6.25	2.84	25	3.68	2.06	3.48	2.35
attack  	6540	2.19	1.56	6.83	2.14	2.4	1.6	5.7	2.7	25	1.2	0.71	4.96	2.86
attack  	6550	2.73	2.38	7.09	1.98	2.35	1.53	5.7	3.26	25	1.36	0.95	4.68	2.94
attack  	6560	2.16	1.41	6.53	2.42	2.3	1.43	6.04	2.6	40	1.73	1.84	5.23	2.62
attack  	6561	3.16	1.46	4.99	2.19					41	2.46	1.45	4.68	2.61
suicide 	6570	2.19	1.72	6.24	2.16	2	2	5.6	2.91	38	1.79	2.04	5.21	2.94
suicide 	6570.1	2.54	1.76	6.12	2.17					43	1	0.31	4.14	3.17
suicide 	6570.2	4.86	0.95	3.85	1.93					25	4.04	1.34	3.04	2.23
cartheft	6571	2.85	2.05	5.59	2.5					26	2.12	1.53	4.6	2.65
gun     	6610	3.6	1.79	5.06	2.39	3.15	1.99	5.85	2.44	25	2.52	2.14	2.96	2.37
gun     	6800	4.01	2.06	4.87	2.57	3.15	1.73	5.78	2.36	25	3.28	1.9	3.08	2.14
gang    	6821	2.38	1.72	6.29	2.02					25	1.36	0.81	4.48	2.93
guns    	6830	2.82	1.81	6.21	2.23	3.23	2.5	6.71	2.18	25	1.8	1.29	4.4	3
police  	6831	2.59	1.5	5.55	2.16	2.6	1.66	6.68	1.82	32	1.31	0.78	4.97	2.92
police  	6834	2.91	1.73	6.28	1.9					25	1.88	1.51	4.08	2.61
Police  	6836	3.46	1.61	5.47	1.91					25	3	2.14	3.52	2.06
police  	6838	2.45	1.44	5.8	2.09					26	2.23	1.34	3.54	2.79
police  	6840	3.63	2.04	5.95	1.9					25	2.24	1.81	3	2.47
aircraft	6900	4.76	2.06	5.64	2.22	4.2	2.03	5.66	2.59	25	4.09	1.93	3.3	2.08
bomber  	6910	5.31	2.28	5.62	2.46	5.85	1.99	5.89	2.04	26	3.23	1.7	2.73	1.64
missles 	6930	4.39	1.82	4.88	2.2	4.44	1.75	4.32	2.38	41	1.15	0.61	4.02	1.6
tank    	6940	3.53	2.07	5.35	2.02	3.23	2.01	6.27	2.25	29	2.83	1.73	3.62	2.53
rollingp	7000	5	0.84	2.42	1.79	5.16	1.11	3.24	2.31	25	4.56	1.73	1.6	1.44
towel   	7002	4.97	0.97	3.16	2	4.23	1.43	2.42	1.88	26	4.54	1.56	2.56	2.2
spoon   	7004	5.04	0.6	2	1.66					51	4.12	1.67	1.98	1.62
bowl    	7006	4.88	0.99	2.33	1.67	4.92	1.22	3.12	2.01	25	3.72	1.77	2.16	2.13
mug     	7009	4.93	1	3.01	1.97	5.06	1.69	2.71	2.34	25	4.48	1.56	1.8	1.63
basket  	7010	4.94	1.07	1.76	1.48	4.96	1.68	2.07	1.59	26	4.38	1.33	1.56	1.33
fan     	7020	4.97	1.04	2.17	1.71					25	4.76	1.23	2.32	1.73
stool   	7025	4.63	1.17	2.71	2.2	5	1.15	2.84	1.99	43	4.14	2.12	1.63	1.48
iron    	7030	4.69	1.04	2.99	2.09	4.6	1.05	2.4	2.35	41	1.56	1.25	4.15	1.62
shoes   	7031	4.52	1.11	2.03	1.51					25	3.76	1.96	2.04	1.72
hammer  	7034	4.95	0.87	3.06	1.95	4.92	1.22	3.72	2.15	26	3.81	1.67	1.31	0.88
mug     	7035	4.98	0.96	2.66	1.82	5	0.58	3	1.91	26	4.56	1.39	2.04	1.68
dustpasn	7040	4.69	1.09	2.69	1.93	4.87	0.46	2.13	1.79	25	3.64	1.59	1.32	0.65
hairdrye	7050	4.93	0.81	2.75	1.8	5.1	1.07	3.34	1.93	25	4.04	1.6	1.92	1.53
trashcan	7060	4.43	1.16	2.55	1.77	4.56	1.53	3.4	2.25	40	3.41	2.03	1.65	1.62
fork    	7080	5.27	1.09	2.32	1.81	5.07	0.62	2.3	1.75	40	4.18	1.74	2.23	1.79
book    	7090	5.19	1.46	2.61	2.03	4.93	1.44	3.04	2.19	25	4.48	1.64	1.8	1.63
headligh	7095	5.99	1.4	4.21	2.2					25	5.04	1.86	2.36	1.93
car     	7096	5.54	1.26	3.98	1.87					41	3.63	2.7	4.83	1.26
firehydr	7100	5.24	1.2	2.89	1.7	5.41	1.38	2.41	2.03	25	4.44	1.64	1.96	1.51
hammer  	7110	4.55	0.93	2.27	1.7					38	3.49	1.5	2	1.51
truck   	7130	4.77	1.03	3.35	1.9	4.97	0.87	2.55	2.03	26	4.23	1.63	2.31	1.69
bus     	7140	5.5	1.42	2.92	2.38	5.6	1.31	2.95	2.44	40	4.56	1.8	2.35	1.86
umbrella	7150	4.72	1	2.61	1.76	5.16	0.98	2.94	1.88	41	4.85	0.94	2.27	1.76
fabric  	7160	5.02	1.1	3.07	2.07					25	5.52	2	3.64	2.7
lightbul	7170	5.14	1.28	3.21	2.05	5.29	1.21	2.92	2.04	40	4.45	1.78	2.25	1.68
lamp    	7175	4.87	1	1.72	1.26					25	4.56	1.12	1.68	1.41
neonbuil	7180	4.73	1.31	3.43	1.95					41	4.9	1.59	3.34	2.29
checkboa	7182	5.16	1.31	4.02	2.12					38	4.79	1.77	4.5	2.84
checkerb	7183	5.58	1.39	3.78	2.19					26	4.27	1.82	3.62	2.26
abstrart	7184	4.84	1.02	3.66	1.89					26	3.5	1.56	2.23	1.68
abstract	7185	4.97	0.87	2.64	2.04					25	4.28	1.57	2.52	2.1
abstrart	7186	4.63	1.6	3.6	2.36					40	4.65	1.35	2.2	1.8
abstract	7187	5.07	1.02	2.3	1.75					51	4.28	1.46	2.63	2.03
clock   	7190	5.55	1.34	3.84	2.06	5	1.28	3.14	2.55	26	4.62	1.5	2.23	1.75
teeth   	7195	6.02	1.65	4.54	2.03					25	5.54	2.17	3.04	1.99
brownie 	7200	7.63	1.74	4.87	2.59	6.89	1.97	4.78	2.38	25	6.72	1.65	4	1.98
scarves 	7205	5.56	1.39	2.93	2.16					41	4.88	2.48	4.2	2.68
beads   	7207	5.15	1.46	3.57	2.25	4.52	1.48	2.32	1.89	32	4.66	1.62	2.66	2.1
clock   	7211	4.81	1.78	4.2	2.4					25	4.04	1.86	1.88	1.72
clotesra	7217	4.82	0.99	2.43	1.64	4.4	1.3	2.13	1.8	25	3.95	1.62	1.59	1.22
pastry  	7220	6.91	1.74	5.3	2.35					38	5.68	2.33	3.63	2.57
file cab	7224	4.45	1.36	2.81	1.94	4.26	1.5	2.65	2.2	25	4.32	1.63	1.24	0.66
turkey  	7230	7.38	1.65	5.52	2.32	7.6	1.71	5.44	2.22	25	6.32	1.57	4.48	2.08
plate   	7233	5.09	1.46	2.77	1.92	4.77	1.36	2.35	2.09	25	5.24	1.59	1.92	2.02
ironing 	7234	4.23	1.58	2.96	1.9	3.68	1.74	2.65	2.11	25	4.42	0.88	2.33	1.66
chair   	7235	4.96	1.18	2.83	2	5	1.55	2.35	2.15	25	4.68	1.57	2	1.8
abstract	7237	5.43	1.36	3.88	2.18					25	4.8	1.63	3.16	2.12
abstract	7238	6.43	1.42	4.17	2.38					25	5.36	1.73	2.64	2.22
torte   	7260	7.21	1.66	5.11	2.19	7.38	1.63	5.38	2.57	38	6	1.56	4.26	2.26
icecream	7270	7.53	1.73	5.76	2.21	6.7	1.82	5	2.22	40	6.58	1.82	4.45	2.74
wines   	7280	7.2	1.8	4.46	2.38	7.54	1.66	4.36	2.47	38	5.47	2.19	3.68	2.39
food    	7281	6.4	1.52	4.41	2.26	6.65	1.64	3.84	2.19	39	5.21	2.14	4.31	2.18
cake    	7282	6.72	1.48	4.77	2.08	6.29	1.42	4.45	2.39	40	6.63	1.51	4.03	2.33
fruit   	7283	5.5	1.84	3.81	2.01	6	1.86	3.8	2.16	25	5.38	1.88	3	2.2
fruit   	7284	6.21	1.66	4.06	2.2	5.9	1.54	2.94	2.1	29	5.1	1.47	3.76	2.13
tomatoes	7285	5.67	1.6	3.83	2.11	5.19	1.66	3.06	2.28	41	5	1.38	2.98	2.11
pancakes	7286	6.36	1.72	4.44	2.44	5.52	1.93	3.55	2.34	43	5.05	1.88	2.81	1.98
food    	7289	6.32	2	5.14	2.51					25	4.96	1.54	3.04	1.93
desserts	7320	6.54	1.63	4.44	2.12	7.21	1.8	3.86	2.77	25	4.88	1.51	2.16	1.72
watermel	7325	7.06	1.65	3.55	2.07					25	7.12	1.76	3.13	2.38
icecream	7330	7.69	1.84	5.14	2.58	8.27	1.69	6.69	2.15	25	6.72	1.67	4.2	2.5
icecream	7340	6.68	1.63	3.69	2.58	7.92	1.41	6.46	2.55	40	6.72	1.65	4.31	2.42
pizza   	7350	7.1	1.98	4.97	2.44	7.69	1.78	5.88	2.83	40	5.95	1.41	3.53	2.25
pizza   	7351	5.82	1.67	4.25	2.28	5.78	1.88	4.91	2.39	25	5.24	1.54	3.2	2.2
pizza   	7352	6.2	2.2	4.58	2.45	5	2.43	4	2.94	50	5.12	1.64	2.92	1.92
fliespie	7360	3.59	1.95	5.11	2.25	2.54	1.73	5.38	2.71	25	2.84	2.44	2.28	1.84
meat sli	7361	3.1	1.73	5.09	2.48	4.13	1.94	5.03	2.01	25	2.6	1.63	4.4	1.91
roach on	7380	2.46	1.42	5.88	2.44	2.5	1.7	5.85	2.89	26	2.31	1.54	4.27	2.2
icecream	7390	6.84	1.73	4.56	2.28	7.5	1.82	3.5	2.33	41	5.8	1.83	3.85	2.67
candy   	7400	7	1.64	5.06	2.23	7	1.73	4.96	2.31	40	6.35	2.14	4.4	2.54
pastry  	7402	5.98	2.04	5.05	2.12					41	4.93	1.87	3.63	2.33
candy   	7410	6.91	1.56	4.55	2.24	6.74	1.63	3.91	2.35	26	6.54	1.96	3.04	2.57
candy   	7430	7.11	1.78	4.72	2.29	5.7	2.18	4.55	2.95	25	5.46	1.84	4.42	2.64
cheesebu	7450	6.4	2.01	5.05	2.22	5.96	2.38	4.55	2.6	25	6.2	1.63	3.68	2.34
frenchfr	7460	6.81	2.08	5.12	2.49	6.1	2.1	3.7	2.54	26	5.65	2.21	3.5	2.45
pancakes	7470	7.08	1.6	4.64	2.26	6.87	1.91	5.22	2.26	39	5.79	1.82	4.44	2.57
shrimp  	7475	6.33	1.66	4.17	2.49					41	5.43	2.37	4.45	3.02
pasta   	7480	7.08	1.62	4.55	2.42	6.81	1.72	4.29	2.56	41	5.93	1.78	4.29	2.41
food    	7481	6.53	1.78	4.92	2.13					40	6.05	1.89	4.5	2.75
window  	7490	5.52	1.41	2.42	2.23	5.27	1.04	2.46	2.08	27	4.04	1.22	2	1.3
building	7491	4.82	1.03	2.39	1.9					40	4.1	2	2.44	1.94
store   	7495	5.9	1.6	3.82	2.33					32	5.13	1.39	2.53	2.08
street  	7496	5.92	1.66	4.84	1.99					38	3.97	1.84	2.95	2.3
building	7500	5.33	1.44	3.26	2.18	5.58	1.33	3.46	2.1	68	3.91	1.65	1.71	1.29
city    	7501	6.85	1.7	2.27	2.31	6.8	2.59	5.55	3.36	40	6.46	2.2	5.05	2.27
castle  	7502	7.75	1.4	5.91	2.31	8.16	1.14	5.64	2.14	41	1.93	1.77	6.98	1.59
carddeal	7503	5.77	1.39	4.21	2.39					41	4.54	2.86	5.2	1.45
skyscrap	7510	6.05	1.6	4.52	2.35	6.14	1.51	4.32	2.36	25	5.04	2.03	2.56	1.96
ocean   	7545	6.84	1.72	3.28	2.34					40	6.53	2.23	3.88	2.61
office  	7550	5.27	1.4	3.95	1.91	5.45	1.12	3.1	2.27	26	4.12	2.16	1.85	1.46
freeway 	7560	4.47	1.65	5.21	2.03	3.93	2.14	5.21	2.69	93	3.96	1.97	2.8	2.05
 skyline	7570	6.97	1.69	5.54	2.34	7.62	1.52	4	2.83	38	6.47	1.91	4.66	2.57
desert  	7580	7.51	1.6	4.59	2.72	7.93	1.46	3.41	2.64	25	6.01	2.1	3.42	2.55
traffic 	7590	4.75	1.55	3.8	2.13					40	4.05	1.47	3.13	2.15
