Modal Verb,English,Source,Name agreement,Image agreement,,Age of acquisition,,Visual complexity,,Familiarity,,Image variability,,Frequency,Reaction Time,,,,,
,,,NA>80%,M,SD,M,SD,M,SD,M,SD,M,SD,,,,,,,
embrasser,to kiss,MD,89%,3.73,1.05,2.1,1.12,1.9,0.79,4.3,0.73,3.24,1.16,21.52,1113,,,,,
éternuer,to sneeze,MD,89%,3.43,1.07,2.37,1.03,2.65,0.59,3.5,0.76,1.48,0.82,0.84,1195.1,,,,,
flotter,to float,MD,95%,3.43,0.73,2.4,0.89,1.95,0.6,2.4,1.23,2.44,0.92,6.58,1359.76,,,,,
fondre,to melt,MD,87%,3.33,1.18,2.63,0.96,4.15,0.75,2.65,1.57,2.12,0.88,11.45,1425.22,,,,,
fumer,to smoke,MD,100%,4,0.95,2.83,0.87,3,0.65,2.1,1.41,2.32,0.9,10.61,1058.76,,,,,
glisser,to slide,MD,92%,2.03,0.93,2.2,0.96,3.7,0.73,2.2,1.24,2.8,0.91,34.48,1301.6,,,,,
jongler,to juggle,MD,100%,4.4,0.62,3.43,0.9,4,0.73,2.7,1.49,2.2,1.08,0.94,942.25,,,,,
jouer,to play,MD,100%,3.3,1.21,1.2,0.48,3.7,0.8,2.55,1.47,3.96,0.89,94.23,1168.5,,,,,
laver (se) ,to wash,MD,100%,3.13,1.04,1.5,0.63,2.65,0.81,4.4,0.99,3.24,1.13,17.74,1153.97,,,,,
lécher,to lick,MD,100%,2.7,1.09,2.3,0.95,3.6,0.94,3.1,1.74,2.64,0.91,3.52,915.86,,,,,
lire,to read,MD,100%,4.43,0.57,2.03,0.85,2.75,0.79,4.65,0.59,3,1.19,75.55,776.17,,,,,
manger,to eat,MD,97%,3.6,1.13,1.13,0.35,2.95,0.76,4.6,0.6,3.56,1.36,78.26,831.33,,,,,
marcher,to walk,MD,82%,3.83,1.15,1.33,0.55,2.05,0.69,4,1.26,2.76,1.16,47.87,996.48,,,,,
mendier,to beg,MD,84%,4.17,0.7,3.9,0.8,3.25,0.85,2.5,1.28,2.16,1.03,1.81,1326.42,,,,,
mordre,to bite,MD,100%,4.13,0.86,1.97,0.93,4.7,0.47,1.75,0.91,2.36,0.7,7.16,1013.2,,,,,
nager,to swim,MD,100%,4.37,0.67,2.03,0.72,3.1,0.72,3,1.38,2.52,1.05,5.58,812.75,,,,,
neiger,to snow,MD,95%,4.17,0.87,1.53,0.57,4.2,0.7,4.2,0.83,2.56,1.39,0.58,967.23,,,,,
ouvrir,to open,MD,95%,3.47,1.48,1.67,0.88,2.15,0.81,3.85,0.99,2.96,1.21,60.1,982.892,,,,,
patiner,to skate,MD,92%,4.3,0.95,2.63,0.81,2.45,0.89,2.35,1.42,2.16,0.8,0.48,1238.16,,,,,
pêcher,to fish,MD,100%,4.6,0.62,2.77,0.82,3.55,0.76,1.95,1.5,2.32,0.95,5.84,1060,,,,,
peindre,to paint,MD,100%,3.7,1.02,2.53,1.01,2.45,0.89,2.85,1.6,2.84,1.14,15,896.25,,,,,
percer,to drill,MD,87%,4.03,1.3,3.07,0.83,3.35,0.67,2.75,1.41,2.2,1.04,8.16,984.41,,,,,
peser (se) ,to weigh,MD,97%,4.03,1.07,2.9,0.99,2.7,0.8,2.85,1.31,1.72,0.79,11.03,1101.27,,,,,
pincer,to pinch,MD,100%,4.53,0.63,1.97,0.85,1.65,0.88,1.75,1.02,1.56,0.65,2.35,829.15,,,,,
planter,to plant,MD,97%,3.97,0.93,2.47,1.01,2.95,0.83,3,1.62,2.52,1.19,8.23,1026.85,,,,,
pleurer,to cry,MD,100%,4,0.83,1.3,0.53,2.4,0.75,3.65,1.27,3.24,1.45,34.1,752.1,,,,,
pleuvoir,to rain,MD,100%,3.57,1.01,1.47,0.51,1.3,0.57,4.6,0.5,2.44,1.26,3.97,1049.21,,,,,
plier,to fold,MD,97%,3.7,1.02,2.63,1,2.85,0.75,2.5,1.1,2.2,0.91,8.06,1065,,,,,
plonger,to dive,MD,97%,4.17,0.99,3.03,0.96,3.2,0.83,2.7,1.42,2.36,0.86,8.94,854.69,,,,,
porter,to carry,MD,97%,3.8,1.1,1.7,0.88,2.05,0.76,3.45,1.1,3.76,1.13,67.61,874.05,,,,,
pousser,to push,MD,100%,3.9,1.09,1.8,1,2.35,0.75,2.55,1.19,2.92,1.26,29.84,906.85,,,,,
prier,to pray,MD,100%,4.37,0.81,2.9,1.21,2.85,0.59,2,1.3,2.32,1.14,13.26,803.92,,,,,
ramper,to crawl,MD,82%,3.27,1.11,2.63,1.16,2.15,0.75,2.4,1.19,1.76,0.72,2.9,1288.95,,,,,
raser (se) ,to shave,MD,97%,3.93,1.01,3.17,1.12,4.6,0.68,2.8,1.61,1.8,0.82,4.03,1436.56,,,,,
regarder,to watch,MD,100%,2.8,1.24,1.4,0.77,2.75,0.79,4.5,0.83,3.44,1.39,95.39,1122.27,,,,,
repasser,to iron,MD,100%,4.3,0.92,2.97,1.03,4,0.56,3.35,1.35,1.72,0.98,5.45,951.63,,,,,
rêver,to dream,MD,100%,4.2,0.61,2.37,0.93,2.95,0.76,4.55,0.83,3.32,1.52,19.52,1209.21,,,,,
rire,to laugh,MD,92%,4.33,0.55,1.4,0.5,1.85,0.75,4.35,0.67,3.48,1.42,139.29,898.08,,,,,
rugir,to roar,MD,89%,4.53,0.73,3.4,0.89,4.65,0.59,1.8,1.11,1.44,0.65,0.55,1272.96,,,,,
saigner,to bleed,MD,100%,3.9,0.76,2.1,0.76,3.1,0.79,2.95,1,3.28,1.02,3.65,1143.37,,,,,
sauter,to jump,MD,87%,3.1,0.99,1.73,0.94,2.35,0.67,2.65,1.18,3.16,1.07,25.1,1033.12,,,,,
skier,to ski,MD,100%,4.13,0.82,2.3,0.79,2.7,0.8,3.4,1.5,2.36,1.04,0.19,886.92,,,,,
sonner,to ring,MD,92%,2.53,1.04,2.07,0.83,2.25,0.72,1.95,1.23,1.92,0.86,10.68,1314.2,,,,,
souffler,to blow,MD,100%,3.67,0.96,1.87,1.01,2.1,0.64,2.35,1.39,2.48,0.92,7.9,911.2,,,,,
sourire,to smile,MD,100%,3.67,0.96,1.7,0.79,1.95,0.76,4.25,0.55,3.28,1.4,128.35,1092.77,,,,,
tirer,to pull,MD,95%,2.23,1.14,2.17,0.99,3.1,0.72,1.95,1.15,2.6,0.96,76.35,1328.5,,,,,
tisser,to weave,MD,92%,3.9,1.12,3.67,0.92,4.6,0.75,1.4,0.94,1.32,0.48,3.45,1244.41,,,,,
traverser,to cross,MD,100%,3.93,1.05,2.4,0.81,3.4,0.88,4.45,0.83,2.16,0.85,22.9,1246.94,,,,,
tricoter,to knit,MD,95%,4.2,0.81,3.07,1.08,3.05,0.6,1.95,1.1,1.44,0.71,1.77,1185.55,,,,,
verser,to pour,MD,97%,4.47,0.9,2.43,0.86,3.05,0.76,4.4,0.6,2.12,0.78,7.55,980.79,,,,,
voler,to fly,MD,100%,3.63,1.16,2.1,0.96,3.4,0.75,2.75,1.37,3.28,1.02,15.97,985.333,,,,,
applaudir,to applaud,VS,100%,3.97,0.76,2.3,0.95,3,0.86,3.45,1.39,2.2,1.26,2.77,1191.97,,,,,
attacher,to tie up,VS,100%,2.67,1.42,2.53,0.94,2.9,0.85,2.7,1.45,2.48,0.82,10.71,1107.32,,,,,
atterrir,to land,VS,95%,4.4,1,3,0.91,2.9,0.85,2.85,1.31,1.72,1.02,1.71,1273.13,,,,,
balayer,to sweep,VS,100%,3.97,0.61,2.53,1.01,2.35,0.88,3.25,1.25,1.64,0.7,4.19,955.3,,,,,
bercer,to rock,VS,87%,4.57,0.77,2.3,0.95,2.75,0.85,2.4,1.47,2.2,1.04,2.52,1027.38,,,,,
bronzer,to tan,VS,100%,4.57,0.63,3.17,0.95,1.85,0.75,3.25,0.85,2.24,1.01,0.97,1118.81,,,,,
calculer,to calculate,VS,97%,4.13,1.22,2.83,0.91,3.35,1.04,3.7,0.92,2.32,0.8,16.32,1113.87,,,,,
caresser,to stroke,VS,95%,3.23,1.01,2.07,0.87,2.75,0.85,2.8,1.32,3.12,1.13,9.32,1109.51,,,,,
compter,to count,VS,84%,2.43,1.07,2.3,0.84,4,0.79,3.1,0.79,2.6,0.96,43.65,1318.1,,,,,
crier,to shout,VS,84%,3.37,1.1,1.5,0.78,1.8,0.7,2.95,1.28,2.6,1.04,27.58,1281.82,,,,,
cueillir,to pick,VS,84%,3.1,1.27,2.43,0.77,3.05,0.94,2.85,1.23,2.56,1,5.97,1224.41,,,,,
décoller,to take off,VS,97%,3.7,1.76,2.9,0.92,2.4,0.82,3.05,1.28,2,0.82,3.52,1096.29,,,,,
dépasser,to pass,VS,84%,3.53,1.14,2.77,0.9,3.6,0.99,2.5,1.54,2.36,0.91,17.55,1264.68,,,,,
descendre,to go down,VS,100%,4.43,0.97,1.77,0.82,2.15,0.81,4.05,0.89,2.52,0.87,41.19,1074.91,,,,,
dessiner,to draw,VS,97%,3.47,0.9,1.6,0.89,2.95,0.69,2.7,1.38,3.12,1.2,9.74,1610.44,,,,,
écouter,to listen,VS,89%,2.37,1.13,1.6,0.81,3.8,0.89,3.75,1.02,3.16,1.18,34.77,1516.34,,,,,
effacer,to clean,VS,87%,2.83,1.21,2.43,0.9,3.05,0.83,2.35,1.18,2.04,0.79,12.48,1102.69,,,,,
essuyer,to wipe,VS,89%,3.63,1.25,2.6,1.04,3.4,0.68,4.05,1.15,2.36,0.86,6.03,1623.6,,,,,
faner (se),to fade,VS,87%,4.53,0.63,3.23,1.04,2.5,0.83,2.45,1.23,1.72,1.06,0.65,1253.81,,,,,
filmer,to film,VS,95%,4.47,0.73,3.33,0.92,2.8,0.95,2.8,1.44,2.72,1.28,0.9,1119.88,,,,,
gonfler,to pump up,VS,89%,2.53,1.01,2.4,1,3.15,0.88,2.1,1.12,2.16,0.9,3.68,1483.96,,,,,
jeter,to throw,VS,100%,3.67,1.03,1.97,1.03,2.3,0.66,4.25,1.02,2.76,1.13,38.77,880.3,,,,,
jouer,to play,VS,95%,2.03,1.22,1.23,0.5,2.45,1,2.65,1.63,3.92,0.91,94.23,1280.28,,,,,
jurer,to swear,VS,82%,2.67,1.49,3.2,0.85,2.9,0.72,1.65,1.14,2.12,0.88,4.39,1636.58,,,,,
mesurer,to measure,VS,95%,3.87,0.86,3.23,0.82,2.5,0.83,2.7,1.22,2.4,0.96,25.16,1277.31,,,,,
offrir,to give,VS,92%,4.13,1.11,2.43,0.94,2.7,0.73,4,0.79,2.96,1.17,34.71,1123.53,,,,,
payer,to pay,VS,97%,4.07,1.01,2.53,1.01,3.4,0.75,4.4,0.68,2.48,1,38.77,1446.06,,,,,
peindre,to paint,VS,100%,3.57,1.3,2.4,1.1,2.95,0.76,2.5,1.67,2.76,1.09,15,954.97,,,,,
peser,to weigh,VS,95%,3.6,1.25,2.63,0.96,3.35,0.99,2.3,1.22,2.08,0.81,11.03,1168.43,,,,,
piquer,to prick,VS,100%,3.33,1.24,2.23,1.1,2,0.79,1.8,0.89,2.6,0.82,7.45,1205.65,,,,,
presser,to squeeze,VS,97%,3.6,1.57,3,1.08,2.75,0.91,3.15,1.27,2.16,0.8,7.65,1159.26,,,,,
punir,to punish,VS,87%,3.67,1.12,1.97,0.93,3.2,0.89,1.7,1.03,1.76,0.88,5.65,1395.75,,,,,
ramer,to row,VS,87%,4.43,0.77,3.27,0.87,2.75,0.91,2,1.08,1.72,0.74,0.97,1188.35,,,,,
scier,to saw,VS,92%,4.63,0.67,3.07,1.01,2.5,0.83,2.05,1.36,1.44,0.71,2.39,932.89,,,,,
sculpter,to carve,VS,95%,3.9,1.18,3.73,0.78,3.25,0.85,1.95,1.39,2.24,1.23,1.26,1580.77,,,,,
semer,to sow,VS,100%,4.53,0.73,3.27,1.01,3.3,0.8,2.1,1.25,1.8,0.82,3.03,1072.93,,,,,
siffler,to whistle,VS,100%,3.53,0.86,2.4,0.72,1.95,0.69,1.45,0.76,1.88,0.83,4.32,1263.71,,,,,
sucer,to suck,VS,97%,2.8,1.27,1.57,0.77,2.4,1.05,1.85,1.46,2.48,0.92,2.48,1348.97,,,,,
téléphoner,to phone,VS,92%,4.3,0.88,2.1,1.12,3.25,0.72,4.5,0.69,2.92,1.15,10.45,879.84,,,,,
tirer ,to pull,VS,97%,2.57,1.38,2.17,0.87,3.1,1.02,1.8,1.15,2.8,1.04,76.35,1010.84,,,,,
traire,to milk,VS,100%,4.8,0.41,3.23,0.97,2.8,0.89,1.5,0.76,1.36,0.64,1.16,1027.47,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
